layer_type,n_bs1,us_bs1,perwkr_us_bs1,n_bs2,us_bs2,perwkr_us_bs2,n_bs4,us_bs4,perwkr_us_bs4,n_bs8,us_bs8,perwkr_us_bs8,n_bs16,us_bs16,perwkr_us_bs16,pct_bs1,pct_bs2,pct_bs4,pct_bs8,pct_bs16
moe_w13,10240.0,266145.8,2079.26,10240.0,282279.5,2205.31,10240.0,289740.1,2263.59,10240.0,341681.3,2669.39,10240.0,424999.2,3320.31,40.0,38.7,35.4,32.6,28.6
moe_w2,10240.0,140631.2,1098.68,10240.0,148142.1,1157.36,10240.0,150907.9,1178.97,10240.0,174905.8,1366.45,10240.0,214106.7,1672.71,21.1,20.3,18.5,16.7,14.4
dense_proj,7480.0,115465.9,902.08,7480.0,117162.6,915.33,7480.0,116360.1,909.06,7480.0,116334.2,908.86,7480.0,118036.9,922.16,17.4,16.0,14.2,11.1,8.0
quantize_fp8,3840.0,84071.4,656.81,3840.0,83626.1,653.33,3840.0,82428.6,643.97,3840.0,80001.6,625.01,3840.0,76065.6,594.26,12.6,11.5,10.1,7.6,5.1
gdn_recurrent,960.0,37774.8,295.12,1920.0,75008.7,586.01,3840.0,148877.5,1163.11,7680.0,295500.1,2308.59,15360.0,589334.8,4604.18,5.7,10.3,18.2,28.2,39.7
moe_silu_mul,5280.0,7618.7,59.52,5280.0,7622.7,59.55,5280.0,7797.9,60.92,5280.0,8015.6,62.62,5280.0,8616.3,67.31,1.1,1.0,1.0,0.8,0.6
gdn_gate,640.0,4067.1,31.77,640.0,4130.4,32.27,640.0,4078.1,31.86,640.0,4137.0,32.32,640.0,4217.1,32.95,0.6,0.6,0.5,0.4,0.3
moe_combine,640.0,3162.5,24.71,640.0,3242.0,25.33,640.0,3223.2,25.18,640.0,3289.4,25.7,640.0,3422.8,26.74,0.5,0.4,0.4,0.3,0.2
norm,1296.0,1767.9,13.81,1296.0,1883.8,14.72,1296.0,1753.7,13.7,1296.0,1728.4,13.5,1296.0,1758.0,13.73,0.3,0.3,0.2,0.2,0.1
gdn_conv,240.0,1386.1,10.83,480.0,2756.2,21.53,960.0,5204.8,40.66,1920.0,10524.8,82.23,3840.0,20808.2,162.56,0.2,0.4,0.6,1.0,1.4
attention,20.0,926.0,7.23,40.0,1865.3,14.57,80.0,3606.9,28.18,160.0,7257.8,56.7,320.0,13798.4,107.8,0.1,0.3,0.4,0.7,0.9
argmax,129.0,690.5,5.39,129.0,1219.3,9.53,129.0,2268.0,17.72,129.0,4198.7,32.8,129.0,7910.3,61.8,0.1,0.2,0.3,0.4,0.5
sched_events,1527.0,635.6,4.97,1527.0,635.4,4.96,1527.0,641.3,5.01,1527.0,639.2,4.99,1527.0,644.0,5.03,0.1,0.1,0.1,0.1,0.0
moe_router,40.0,564.1,4.41,40.0,611.7,4.78,40.0,588.6,4.6,40.0,587.3,4.59,40.0,630.9,4.93,0.1,0.1,0.1,0.1,0.0
embedding,1.0,52.0,0.41,1.0,54.2,0.42,1.0,47.6,0.37,1.0,52.2,0.41,1.0,55.6,0.43,0.0,0.0,0.0,0.0,0.0
sched_prepare_batch,1.0,4.2,0.03,1.0,6.9,0.05,1.0,11.1,0.09,1.0,20.9,0.16,1.0,35.6,0.28,0.0,0.0,0.0,0.0,0.0
begin_task_graph,1.0,0.2,0.0,1.0,0.3,0.0,1.0,0.3,0.0,1.0,0.4,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
