layer_type,n_bs1,us_bs1,perwkr_us_bs1,n_bs8,us_bs8,perwkr_us_bs8,n_bs16,us_bs16,perwkr_us_bs16,pct_bs1,pct_bs8,pct_bs16
dense_proj,7480.0,116765.4,912.23,7480.0,117122.3,915.02,7480.0,117888.0,921.0,47.0,46.1,45.2
moe_w13,10240.0,40901.1,319.54,10240.0,40982.8,320.18,10240.0,41022.5,320.49,16.5,16.1,15.7
gdn_recurrent,960.0,37754.0,294.95,7680.0,41304.4,322.69,15360.0,45502.4,355.49,15.2,16.3,17.5
moe_w2,10240.0,24203.1,189.09,10240.0,24261.2,189.54,10240.0,24235.7,189.34,9.7,9.5,9.3
moe_silu_mul,5280.0,7663.1,59.87,5280.0,7643.8,59.72,5280.0,7661.4,59.85,3.1,3.0,2.9
quantize_fp8,3840.0,7529.7,58.83,3840.0,7540.4,58.91,3840.0,7576.4,59.19,3.0,3.0,2.9
moe_combine,640.0,4109.0,32.1,640.0,4242.8,33.15,640.0,4218.9,32.96,1.7,1.7,1.6
gdn_gate,640.0,2947.3,23.03,640.0,2946.1,23.02,640.0,3025.6,23.64,1.2,1.2,1.2
norm,1296.0,1650.1,12.89,1296.0,1652.1,12.91,1296.0,1650.8,12.9,0.7,0.6,0.6
attention,20.0,1543.5,12.06,160.0,1752.7,13.69,320.0,1867.0,14.59,0.6,0.7,0.7
gdn_conv,240.0,1316.2,10.28,1920.0,2570.2,20.08,3840.0,3863.5,30.18,0.5,1.0,1.5
sched_events,2277.0,931.7,7.28,2277.0,914.5,7.14,2277.0,934.4,7.3,0.4,0.4,0.4
argmax,129.0,685.5,5.36,129.0,683.7,5.34,129.0,678.8,5.3,0.3,0.3,0.3
moe_router,40.0,501.4,3.92,40.0,500.3,3.91,40.0,508.9,3.98,0.2,0.2,0.2
embedding,1.0,64.7,0.51,1.0,46.2,0.36,1.0,48.6,0.38,0.0,0.0,0.0
sched_prepare_batch,1.0,4.4,0.03,1.0,6.8,0.05,1.0,10.5,0.08,0.0,0.0,0.0
begin_task_graph,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0
