task_type,name,layer_type,n_bs1,us_bs1,perwkr_us_bs1,mean_us_bs1,nlong_bs1,wallspan_us_bs1,conc_bs1,n_bs8,us_bs8,perwkr_us_bs8,mean_us_bs8,nlong_bs8,wallspan_us_bs8,conc_bs8,n_bs16,us_bs16,perwkr_us_bs16,mean_us_bs16,nlong_bs16,wallspan_us_bs16,conc_bs16
279,TASK_LINEAR_FP8_BLOCKSCALE_SM100,dense_proj,5200.0,87830.1,686.17,16.89,5200.0,2933.0,69.9,5200.0,88348.1,690.22,16.99,5200.0,2995.0,70.2,5200.0,88496.1,691.38,17.02,5200.0,3005.0,69.9
241,TASK_MOE_W13_FP8_BLOCKSCALE_SM100,moe_w13,10240.0,40901.1,319.54,3.99,789.9,2388.0,88.4,10240.0,40982.8,320.18,4.0,753.8,2478.0,76.5,10240.0,41022.5,320.49,4.01,766.0,2505.0,76.6
237,TASK_GDN_RECURRENT_SM100,gdn_recurrent,960.0,37754.0,294.95,39.33,960.0,1218.0,32.0,7680.0,41304.4,322.69,5.38,1053.6,2467.0,92.5,15360.0,45502.4,355.49,2.96,1040.4,4938.0,76.2
253,TASK_LINEAR_SM100,dense_proj,2280.0,28935.3,226.06,12.69,2280.0,788.0,75.7,2280.0,28774.2,224.8,12.62,2280.0,879.0,76.6,2280.0,29391.9,229.62,12.89,2280.0,905.0,76.4
242,TASK_MOE_W2_FP8_BLOCKSCALE_SM100,moe_w2,10240.0,24203.1,189.09,2.36,646.1,1347.0,78.4,10240.0,24261.2,189.54,2.37,648.0,1453.0,70.3,10240.0,24235.7,189.34,2.37,650.4,1454.0,70.6
118,TASK_SILU_MUL,moe_silu_mul,5280.0,7663.1,59.87,1.45,5055.4,238.0,117.8,5280.0,7643.8,59.72,1.45,5004.6,297.0,119.2,5280.0,7661.4,59.85,1.45,5076.9,301.0,119.8
275,TASK_QUANTIZE_FP8_SM100,quantize_fp8,3840.0,7529.7,58.83,1.96,3779.2,560.0,34.0,3840.0,7540.4,58.91,1.96,3777.1,576.0,33.7,3840.0,7576.4,59.19,1.97,3778.2,571.0,33.9
261,TASK_MOE_MUL_SUM_ADD_SM100,moe_combine,640.0,4109.0,32.1,6.42,640.0,282.0,16.0,640.0,4242.8,33.15,6.63,640.0,292.0,16.0,640.0,4218.9,32.96,6.59,640.0,294.0,16.0
238,TASK_SIGMOID_GATE_MUL_ADD_SM100,gdn_gate,640.0,2947.3,23.03,4.61,640.0,293.0,15.2,640.0,2946.1,23.02,4.6,640.0,360.0,15.2,640.0,3025.6,23.64,4.73,640.0,363.0,15.3
154,TASK_RMS_NORM_HOPPER,norm,1296.0,1650.1,12.89,1.27,1054.7,184.0,15.1,1296.0,1652.1,12.91,1.27,1026.4,200.0,13.2,1296.0,1650.8,12.9,1.27,1014.8,203.0,13.1
257,TASK_ATTN_SM100,attention,20.0,1543.5,12.06,77.18,20.0,757.0,2.0,160.0,1752.7,13.69,10.95,70.4,804.0,11.3,320.0,1867.0,14.59,5.83,116.2,787.0,21.8
234,TASK_GDN_CONV1D_SM100,gdn_conv,240.0,1316.2,10.28,5.48,240.0,185.0,8.0,1920.0,2570.2,20.08,1.34,470.6,201.0,47.1,3840.0,3863.5,30.18,1.01,458.2,207.0,89.9
201,TASK_SCHD_EVENTS,sched_events,2277.0,931.7,7.28,0.41,4.2,439.0,21.4,2277.0,914.5,7.14,0.4,4.0,469.0,22.8,2277.0,934.4,7.3,0.41,4.4,469.0,23.5
259,TASK_ARGMAX_PARTIAL_SM100,argmax,128.0,683.2,5.34,5.34,128.0,37.0,77.6,128.0,681.3,5.32,5.32,128.0,54.0,85.5,128.0,676.4,5.28,5.28,128.0,52.0,83.5
260,TASK_MOE_TOPK_SOFTMAX_SM100,moe_router,40.0,501.4,3.92,12.54,40.0,497.0,8.8,40.0,500.3,3.91,12.51,40.0,563.0,8.1,40.0,508.9,3.98,12.72,40.0,604.0,8.8
101,TASK_EMBEDDING,embedding,1.0,64.7,0.51,64.66,1.0,65.0,1.0,1.0,46.2,0.36,46.19,1.0,50.0,1.0,1.0,48.6,0.38,48.62,1.0,52.0,1.0
204,TASK_SCHD_PREPARE_BATCH,sched_prepare_batch,1.0,4.4,0.03,4.37,1.0,,,1.0,6.8,0.05,6.83,1.0,,,1.0,10.5,0.08,10.51,1.0,,
258,TASK_ARGMAX_REDUCE_SM100,argmax,1.0,2.3,0.02,2.29,1.0,2.0,1.0,1.0,2.4,0.02,2.39,1.0,6.0,1.0,1.0,2.4,0.02,2.42,1.0,6.0,1.0
10,TASK_BEGIN_TASK_GRAPH,begin_task_graph,1.0,0.2,0.0,0.21,0.0,0.0,1.0,1.0,0.2,0.0,0.2,0.0,0.0,1.0,1.0,0.2,0.0,0.2,0.0,0.0,1.0
