iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,8,8,0,16,21517.38,685461.34,960.77,21093.86,423.52,11.46,5362.67,15731.18,0.2492,49586
1,prefill,8,8,0,16,22606.66,617454.82,958.34,22184.99,421.66,8.48,4831.35,17353.64,0.2137,49586
2,prefill,8,8,0,16,22596.80,629901.89,952.38,22177.02,419.78,7.10,4928.55,17248.47,0.2181,49586
3,prefill,8,8,0,16,22636.90,624720.35,953.57,22215.39,421.50,7.30,4888.08,17327.31,0.2159,49586
4,prefill,8,8,0,16,22898.40,615006.30,952.42,22477.70,420.70,7.39,4812.18,17665.52,0.2102,49586
5,prefill,8,8,0,16,22924.54,632105.76,961.92,22511.33,413.22,7.42,4945.84,17565.49,0.2157,49586
6,prefill,8,8,0,16,23007.94,627532.38,950.66,22582.94,424.99,7.81,4910.02,17672.92,0.2134,49586
7,prefill,8,8,0,16,22835.84,628744.00,951.90,22423.07,412.77,8.16,4919.50,17503.57,0.2154,49586
8,prefill,8,8,0,16,23165.95,624308.29,962.82,22750.50,415.46,8.19,4884.93,17865.57,0.2109,49586
9,prefill,8,8,0,16,23230.14,627163.78,941.15,22807.78,422.37,8.48,4907.07,17900.71,0.2112,49586
10,prefill,8,8,0,16,23249.79,649940.22,965.79,22829.73,420.06,7.46,5085.20,17744.52,0.2187,49586
11,prefill,8,8,0,16,23247.84,629181.76,960.48,22824.00,423.84,7.68,4922.99,17901.01,0.2118,49586
12,prefill,8,8,0,16,23706.30,678767.07,963.97,23284.42,421.89,8.51,5310.40,17974.02,0.2240,49586
13,prefill,8,8,0,16,23645.15,657970.56,953.02,23226.37,418.78,7.17,5147.84,18078.53,0.2177,49586
14,prefill,8,8,0,16,23480.99,647800.99,960.74,23066.18,414.82,7.10,5068.45,17997.73,0.2159,49586
15,prefill,8,8,0,16,23797.12,661579.65,950.30,23376.96,420.16,8.90,5176.02,18200.94,0.2175,49586
16,mixed,8,7,1,16,20839.46,745779.14,957.66,20425.12,414.34,9.02,5833.88,14591.24,0.2799,49586
17,mixed,8,7,1,16,21887.71,657738.46,961.47,21472.16,415.55,9.95,5146.09,16326.07,0.2351,49586
18,mixed,8,7,1,16,21860.38,673309.57,963.97,21436.22,424.16,10.53,5267.76,16168.46,0.2410,49586
19,mixed,8,7,1,16,22221.79,692389.57,962.40,21808.22,413.57,9.28,5416.81,16391.41,0.2438,49586
20,mixed,8,7,1,16,22489.89,697898.24,951.87,22069.47,420.42,9.82,5459.77,16609.71,0.2428,49586
21,mixed,8,7,1,16,22240.06,676912.67,951.36,21813.82,426.24,10.40,5295.81,16518.01,0.2381,49586
22,mixed,8,7,1,16,22262.27,688752.35,969.02,21840.74,421.54,10.94,5388.45,16452.29,0.2420,49586
23,mixed,8,7,1,16,22367.20,681223.97,964.90,21948.00,419.20,11.20,5329.60,16618.40,0.2383,49586
24,mixed,8,7,1,16,22631.01,683945.92,950.88,22212.10,418.91,10.05,5350.76,16861.34,0.2364,49586
25,mixed,8,7,1,16,22669.73,706451.58,961.34,22249.86,419.87,10.34,5526.66,16723.19,0.2438,49586
26,mixed,8,7,1,16,22746.46,695979.97,959.65,22326.37,420.10,10.91,5444.84,16881.53,0.2394,49586
27,mixed,8,7,1,16,22766.18,711261.86,970.24,22344.35,421.82,11.14,5564.31,16780.04,0.2444,49586
28,mixed,8,7,1,16,22733.09,678682.53,969.79,22319.39,413.70,10.27,5309.78,17009.61,0.2336,49586
29,mixed,8,7,1,16,22878.91,698275.58,962.56,22455.30,423.62,11.17,5462.80,16992.50,0.2388,49586
30,mixed,8,7,1,16,22969.92,693922.85,971.30,22543.07,426.85,10.85,5428.86,17114.21,0.2363,49586
31,mixed,8,7,1,16,22799.39,679137.82,953.28,22376.32,423.07,9.63,5313.21,17063.11,0.2330,49586
32,mixed,8,7,1,16,22916.26,691091.68,959.17,22498.24,418.02,12.03,5406.65,17091.59,0.2359,49586
33,mixed,8,7,1,16,20136.48,783107.68,954.88,19720.90,415.58,12.00,6125.49,13595.41,0.3042,49586
34,mixed,8,6,2,16,21368.16,706149.89,952.54,20945.25,422.91,12.26,5524.24,15421.01,0.2585,49586
35,mixed,8,6,2,16,21315.49,726813.38,960.83,20895.30,420.19,11.42,5685.74,15209.56,0.2667,49586
36,mixed,8,6,2,16,21350.72,712214.69,953.15,20927.10,423.62,12.35,5571.62,15355.48,0.2610,49586
37,mixed,8,6,2,16,21678.24,725201.28,958.91,21258.82,419.42,12.00,5673.13,15585.69,0.2617,49586
38,mixed,8,6,2,16,21541.95,717620.48,957.47,21120.70,421.25,12.90,5613.89,15506.81,0.2606,49586
39,mixed,8,6,2,16,21627.90,728333.22,948.83,21200.70,427.20,11.90,5697.52,15503.19,0.2634,49586
40,mixed,8,6,2,16,21652.83,725770.14,958.14,21232.10,420.74,11.87,5677.56,15554.53,0.2622,49586
41,mixed,8,6,2,16,21663.07,722433.15,959.62,21241.25,421.82,11.81,5651.51,15589.74,0.2609,49586
42,mixed,8,6,2,16,22049.31,725157.06,957.50,21629.15,420.16,11.84,5672.77,15956.38,0.2573,49586
