iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,16,16,0,16,29316.45,674745.50,950.56,28888.45,428.00,13.50,5278.88,23609.57,0.1801,59346
1,prefill,16,16,0,16,32077.28,620965.41,955.52,31647.55,429.73,11.87,4858.76,26788.79,0.1515,59346
2,prefill,16,16,0,16,32009.12,630975.17,954.18,31578.37,430.75,12.96,4936.95,26641.42,0.1542,59346
3,prefill,16,16,0,16,32183.49,642494.43,950.08,31754.66,428.83,12.83,5026.91,26727.75,0.1562,59346
4,prefill,16,16,0,16,32549.44,643451.30,947.58,32117.12,432.32,11.87,5034.37,27082.75,0.1547,59346
5,prefill,16,16,0,16,32395.87,639500.35,948.90,31972.13,423.74,11.52,5003.51,26968.62,0.1544,59346
6,prefill,16,16,0,16,32415.52,655458.05,966.46,31989.76,425.76,12.00,5128.32,26861.44,0.1582,59346
7,prefill,16,16,0,16,32614.50,653630.85,960.19,32183.84,430.66,12.13,5113.99,27069.85,0.1568,59346
8,prefill,16,16,0,16,32789.92,668819.36,952.90,32363.17,426.75,11.14,5232.60,27130.57,0.1596,59346
9,prefill,16,16,0,16,32712.48,653066.72,950.27,32283.26,429.22,11.81,5109.51,27173.76,0.1562,59346
10,prefill,16,16,0,16,32755.42,662795.42,950.78,32330.30,425.12,12.10,5185.52,27144.79,0.1583,59346
11,prefill,16,16,0,16,32780.19,660483.65,955.62,32350.78,429.41,12.64,5167.49,27183.29,0.1576,59346
12,prefill,16,16,0,16,33113.66,674134.98,949.28,32687.42,426.24,12.77,5274.10,27413.33,0.1593,59346
13,prefill,16,16,0,16,33149.63,677720.19,953.92,32727.46,422.18,10.56,5302.14,27425.31,0.1599,59346
14,prefill,16,16,0,16,33140.45,669283.30,956.74,32714.34,426.11,12.48,5236.25,27478.09,0.1580,59346
15,prefill,16,16,0,16,33168.22,649612.42,948.19,32734.56,433.66,13.98,5082.50,27652.06,0.1532,59346
16,mixed,16,15,1,16,28254.53,743111.17,951.71,27828.54,425.98,14.53,5812.99,22015.55,0.2057,59346
17,mixed,16,15,1,16,31050.94,698233.76,963.23,30625.86,425.09,14.69,5462.48,25163.38,0.1759,59346
18,mixed,16,15,1,16,31097.31,697496.13,961.98,30668.74,428.58,14.37,5456.70,25212.03,0.1755,59346
19,mixed,16,15,1,16,31363.07,727873.38,969.47,30928.90,434.18,13.76,5694.08,25234.81,0.1816,59346
20,mixed,16,15,1,16,31283.78,712881.22,946.78,30854.02,429.76,14.21,5576.78,25277.23,0.1783,59346
21,mixed,16,15,1,16,31292.58,704946.69,958.66,30867.36,425.22,13.82,5514.89,25352.47,0.1762,59346
22,mixed,16,15,1,16,31510.59,725856.64,951.90,31073.54,437.06,13.82,5678.19,25395.34,0.1802,59346
23,mixed,16,15,1,16,31322.85,701120.35,958.69,30889.60,433.25,15.42,5484.99,25404.61,0.1751,59346
24,mixed,16,15,1,16,31769.70,716513.54,954.88,31339.90,429.79,15.10,5605.22,25734.68,0.1764,59346
25,mixed,16,15,1,16,31730.14,716648.96,960.80,31300.48,429.66,15.07,5606.33,25694.15,0.1767,59346
26,mixed,16,15,1,16,31796.35,734933.76,964.67,31363.87,432.48,13.47,5749.21,25614.67,0.1808,59346
27,mixed,16,15,1,16,31636.67,694488.06,962.62,31204.86,431.81,13.18,5433.21,25771.66,0.1717,59346
28,mixed,16,15,1,16,31998.37,704020.58,964.99,31574.82,423.55,14.75,5507.70,26067.12,0.1721,59346
29,mixed,16,15,1,16,31989.73,711783.26,947.52,31568.29,421.44,15.10,5568.21,26000.08,0.1741,59346
30,mixed,16,15,1,16,32267.74,738448.48,957.89,31832.80,434.94,14.75,5776.61,26056.19,0.1790,59346
31,mixed,16,15,1,16,32116.64,729654.34,957.09,31685.22,431.42,14.94,5707.90,25977.31,0.1777,59346
32,mixed,16,15,1,16,32069.89,712109.22,962.05,31639.78,430.11,16.48,5570.87,26068.91,0.1737,59346
33,mixed,16,15,1,16,27392.54,774832.06,952.70,26959.52,433.02,16.83,6060.82,20898.70,0.2213,59346
34,mixed,16,14,2,16,29852.90,719102.85,946.50,29423.58,429.31,16.61,5625.39,23798.20,0.1884,59346
35,mixed,16,14,2,16,30075.78,734829.47,964.58,29648.80,426.98,14.91,5748.39,23900.41,0.1911,59346
36,mixed,16,14,2,16,29988.99,742145.54,952.32,29563.62,425.38,15.71,5805.45,23758.16,0.1936,59346
37,mixed,16,14,2,16,30268.03,755437.60,949.98,29840.51,427.52,16.29,5909.28,23931.23,0.1952,59346
38,mixed,16,14,2,16,30216.58,742505.34,951.01,29789.22,427.36,16.77,5808.25,23980.96,0.1922,59346
39,mixed,16,14,2,16,30396.83,763297.18,961.31,29964.99,431.84,16.42,5970.77,23994.22,0.1964,59346
40,mixed,16,14,2,16,30591.74,765962.59,957.22,30157.60,434.14,15.94,5991.56,24166.04,0.1959,59346
41,mixed,16,14,2,16,30690.43,767171.49,956.35,30252.45,437.98,16.96,6001.00,24251.45,0.1955,59346
42,mixed,16,14,2,16,30667.87,753228.99,952.48,30241.22,426.66,16.67,5892.04,24349.17,0.1921,59346
43,mixed,16,14,2,16,30790.78,778615.90,966.14,30358.88,431.90,14.40,6090.48,24268.40,0.1978,59346
44,mixed,16,14,2,16,30710.18,753113.86,966.62,30279.78,430.40,15.04,5891.25,24388.52,0.1918,59346
45,mixed,16,14,2,16,30795.52,767157.63,956.22,30363.10,432.42,15.78,6000.89,24362.21,0.1949,59346
46,mixed,16,14,2,16,31067.58,759571.20,953.34,30638.43,429.15,17.57,5941.60,24696.83,0.1912,59346
47,mixed,16,14,2,16,31245.06,765235.52,940.35,30813.86,431.20,17.41,5985.75,24828.11,0.1916,59346
48,mixed,16,14,2,16,31157.60,755114.11,958.59,30726.27,431.33,15.04,5906.82,24819.45,0.1896,59346
49,mixed,16,14,2,16,31144.90,746825.73,955.55,30707.58,437.31,17.02,5842.04,24865.54,0.1876,59346
50,mixed,16,14,2,16,31223.17,771739.42,972.70,30789.89,433.28,17.44,6036.81,24753.07,0.1933,59346
51,mixed,16,14,2,16,22931.78,830601.15,954.75,22500.13,431.65,18.82,6496.53,16003.60,0.2833,59346
52,mixed,16,13,3,16,29291.26,804668.48,966.88,28864.67,426.59,18.50,6294.03,22570.65,0.2149,59346
53,mixed,16,13,3,16,29117.73,794693.98,953.31,28689.18,428.54,18.18,6215.99,22473.19,0.2135,59346
54,mixed,16,13,3,16,29383.74,821085.73,962.75,28959.42,424.32,18.14,6422.25,22537.17,0.2186,59346
55,mixed,16,13,3,16,29325.76,823784.10,948.96,28895.33,430.43,17.15,6443.23,22452.10,0.2197,59346
56,mixed,16,13,3,16,29394.62,821103.94,951.20,28969.15,425.47,18.85,6422.31,22546.85,0.2185,59346
57,mixed,16,13,3,16,29604.35,829724.13,946.30,29173.86,430.50,18.14,6489.61,22684.24,0.2192,59346
58,mixed,16,13,3,16,29430.69,821353.54,948.35,29001.70,428.99,18.18,6424.23,22577.46,0.2183,59346
59,mixed,16,13,3,16,29546.78,822709.28,950.40,29112.93,433.86,17.76,6434.84,22678.09,0.2178,59346
60,mixed,16,13,3,16,29971.84,835463.84,959.62,29533.25,438.59,18.18,6534.56,22998.69,0.2180,59346
61,mixed,16,13,3,16,29800.96,801783.01,965.44,29364.93,436.03,18.34,6271.47,23093.46,0.2104,59346
62,mixed,16,13,3,16,30240.54,836219.10,951.62,29799.97,440.58,18.59,6540.40,23259.57,0.2163,59346
63,mixed,16,13,3,16,29740.67,807496.06,960.74,29305.66,435.01,18.56,6316.07,22989.60,0.2124,59346
64,mixed,16,13,3,16,29788.38,815382.18,971.01,29363.58,424.80,16.90,6377.76,22985.82,0.2141,59346
65,mixed,16,13,3,16,30035.01,816698.21,964.54,29600.58,434.43,18.05,6387.99,23212.59,0.2127,59346
66,mixed,16,13,3,16,30266.53,835542.14,953.22,29835.23,431.30,17.86,6535.12,23300.11,0.2159,59346
67,mixed,16,13,3,16,30415.36,837561.82,953.95,29988.51,426.85,18.66,6550.90,23437.61,0.2154,59346
68,mixed,16,13,3,16,30401.63,827309.28,958.88,29965.70,435.94,18.94,6470.85,23494.85,0.2128,59346
