layer_type,n_bs1,us_bs1,perwkr_us_bs1,n_bs8,us_bs8,perwkr_us_bs8,n_bs16,us_bs16,perwkr_us_bs16,pct_bs1,pct_bs8,pct_bs16
dense_proj,7480.0,116675.0,911.52,7480.0,116496.3,910.13,7480.0,118229.3,923.67,47.1,14.1,15.8
moe_w13,10240.0,40935.7,319.81,10240.0,239543.5,1871.43,10240.0,205795.8,1607.78,16.5,29.0,27.6
gdn_recurrent,960.0,37766.6,295.05,7680.0,295876.7,2311.54,15360.0,264242.4,2064.39,15.2,35.8,35.4
moe_w2,10240.0,24227.5,189.28,10240.0,125115.4,977.46,10240.0,109836.6,858.1,9.8,15.1,14.7
moe_silu_mul,5280.0,7658.7,59.83,5280.0,8641.9,67.51,5280.0,8714.1,68.08,3.1,1.0,1.2
quantize_fp8,3840.0,7532.9,58.85,3840.0,7479.4,58.43,3840.0,7563.0,59.09,3.0,0.9,1.0
moe_combine,640.0,4112.8,32.13,640.0,3928.0,30.69,640.0,3982.1,31.11,1.7,0.5,0.5
gdn_gate,640.0,2965.7,23.17,640.0,4048.2,31.63,640.0,4050.0,31.64,1.2,0.5,0.5
norm,1296.0,1660.9,12.98,1296.0,1677.0,13.1,1296.0,1736.9,13.57,0.7,0.2,0.2
gdn_conv,240.0,1320.9,10.32,1920.0,10503.3,82.06,3840.0,10941.1,85.48,0.5,1.3,1.5
sched_events,2277.0,934.6,7.3,2277.0,950.9,7.43,2277.0,936.7,7.32,0.4,0.1,0.1
attention,20.0,919.4,7.18,160.0,7422.0,57.98,320.0,6426.8,50.21,0.4,0.9,0.9
argmax,129.0,672.5,5.25,129.0,4145.5,32.39,129.0,3712.4,29.0,0.3,0.5,0.5
moe_router,40.0,505.5,3.95,40.0,570.8,4.46,40.0,615.6,4.81,0.2,0.1,0.1
embedding,1.0,61.6,0.48,1.0,55.4,0.43,1.0,60.4,0.47,0.0,0.0,0.0
sched_prepare_batch,1.0,3.9,0.03,1.0,21.1,0.16,1.0,20.9,0.16,0.0,0.0,0.0
begin_task_graph,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.2,0.0,0.0,0.0,0.0
