task_type,name,layer_type,n_bs1,us_bs1,perwkr_us_bs1,mean_us_bs1,nlong_bs1,wallspan_us_bs1,conc_bs1,n_bs8,us_bs8,perwkr_us_bs8,mean_us_bs8,nlong_bs8,wallspan_us_bs8,conc_bs8,n_bs16,us_bs16,perwkr_us_bs16,mean_us_bs16,nlong_bs16,wallspan_us_bs16,conc_bs16
279,TASK_LINEAR_FP8_BLOCKSCALE_SM100,dense_proj,5200.0,87952.4,687.13,16.91,5200.0,2936.0,69.2,5200.0,86761.7,677.83,16.68,5200.0,2965.0,70.6,5200.0,87813.2,686.04,16.89,5200.0,2988.0,70.8
241,TASK_MOE_W13_FP8_BLOCKSCALE_SM100,moe_w13,10240.0,40935.7,319.81,4.0,780.1,2381.0,89.1,10240.0,239543.5,1871.43,23.39,4020.1,2656.0,72.9,10240.0,205795.8,1607.78,20.1,3461.0,2613.0,73.5
237,TASK_GDN_RECURRENT_SM100,gdn_recurrent,960.0,37766.6,295.05,39.34,960.0,1219.0,32.0,7680.0,295876.7,2311.54,38.53,7680.0,2467.0,128.0,15360.0,264242.4,2064.39,17.2,6769.0,4943.0,78.5
253,TASK_LINEAR_SM100,dense_proj,2280.0,28722.6,224.4,12.6,2280.0,788.0,76.0,2280.0,29734.6,232.3,13.04,2280.0,884.0,76.9,2280.0,30416.2,237.63,13.34,2280.0,902.0,76.7
242,TASK_MOE_W2_FP8_BLOCKSCALE_SM100,moe_w2,10240.0,24227.5,189.28,2.37,646.2,1345.0,79.0,10240.0,125115.4,977.46,12.22,3973.2,1441.0,70.9,10240.0,109836.6,858.1,10.73,3459.0,1450.0,70.1
118,TASK_SILU_MUL,moe_silu_mul,5280.0,7658.7,59.83,1.45,5046.2,239.0,118.3,5280.0,8641.9,67.51,1.64,5277.9,351.0,118.4,5280.0,8714.1,68.08,1.65,5279.0,344.0,119.1
275,TASK_QUANTIZE_FP8_SM100,quantize_fp8,3840.0,7532.9,58.85,1.96,3780.0,562.0,34.0,3840.0,7479.4,58.43,1.95,3621.6,588.0,33.9,3840.0,7563.0,59.09,1.97,3667.0,568.0,33.9
261,TASK_MOE_MUL_SUM_ADD_SM100,moe_combine,640.0,4112.8,32.13,6.43,640.0,281.0,16.0,640.0,3928.0,30.69,6.14,640.0,292.0,16.0,640.0,3982.1,31.11,6.22,640.0,292.0,16.0
238,TASK_SIGMOID_GATE_MUL_ADD_SM100,gdn_gate,640.0,2965.7,23.17,4.63,640.0,295.0,15.3,640.0,4048.2,31.63,6.33,640.0,373.0,15.9,640.0,4050.0,31.64,6.33,640.0,379.0,15.8
154,TASK_RMS_NORM_HOPPER,norm,1296.0,1660.9,12.98,1.28,1066.4,184.0,15.1,1296.0,1677.0,13.1,1.29,1084.8,196.0,13.0,1296.0,1736.9,13.57,1.34,1054.0,202.0,12.9
234,TASK_GDN_CONV1D_SM100,gdn_conv,240.0,1320.9,10.32,5.5,240.0,183.0,8.0,1920.0,10503.3,82.06,5.47,1920.0,205.0,64.0,3840.0,10941.1,85.48,2.85,1829.0,203.0,88.0
201,TASK_SCHD_EVENTS,sched_events,2277.0,934.6,7.3,0.41,5.2,427.0,22.1,2277.0,950.9,7.43,0.42,6.7,488.0,23.6,2277.0,936.7,7.32,0.41,4.0,483.0,23.6
257,TASK_ATTN_SM100,attention,20.0,919.4,7.18,45.97,20.0,510.0,2.0,160.0,7422.0,57.98,46.39,160.0,501.0,16.0,320.0,6426.8,50.21,20.08,202.0,508.0,20.6
259,TASK_ARGMAX_PARTIAL_SM100,argmax,128.0,670.0,5.23,5.23,128.0,34.0,82.4,128.0,4137.0,32.32,32.32,128.0,67.0,112.0,128.0,3704.5,28.94,28.94,128.0,63.0,96.1
260,TASK_MOE_TOPK_SOFTMAX_SM100,moe_router,40.0,505.5,3.95,12.64,40.0,506.0,9.0,40.0,570.8,4.46,14.27,40.0,568.0,8.0,40.0,615.6,4.81,15.39,40.0,619.0,8.7
101,TASK_EMBEDDING,embedding,1.0,61.6,0.48,61.62,1.0,62.0,1.0,1.0,55.4,0.43,55.42,1.0,57.0,1.0,1.0,60.4,0.47,60.45,1.0,57.0,1.0
204,TASK_SCHD_PREPARE_BATCH,sched_prepare_batch,1.0,3.9,0.03,3.87,1.0,,,1.0,21.1,0.16,21.11,1.0,,,1.0,20.9,0.16,20.86,1.0,,
258,TASK_ARGMAX_REDUCE_SM100,argmax,1.0,2.4,0.02,2.41,1.0,2.0,1.0,1.0,8.5,0.07,8.51,1.0,9.0,1.0,1.0,7.8,0.06,7.81,1.0,8.0,1.0
10,TASK_BEGIN_TASK_GRAPH,begin_task_graph,1.0,0.2,0.0,0.2,0.0,0.0,1.0,1.0,0.4,0.0,0.36,0.0,0.0,1.0,1.0,0.2,0.0,0.19,0.0,0.0,1.0
