iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,8,8,0,16,21834.62,742499.62,983.07,21411.58,423.04,14.91,5808.46,15603.13,0.2660,49586
1,prefill,8,8,0,16,18198.72,775781.06,978.34,17772.67,426.05,12.10,6068.43,11704.24,0.3335,49586
2,mixed,8,7,1,16,22419.20,743493.15,972.32,21998.66,420.54,13.47,5816.14,16182.52,0.2594,49586
3,mixed,8,7,1,16,16867.68,777508.64,972.96,16447.20,420.48,12.99,6081.89,10365.31,0.3606,49586
4,mixed,8,6,2,16,21599.78,778229.25,966.88,21178.08,421.70,14.72,6087.47,15090.61,0.2818,49586
5,mixed,8,6,2,16,19063.26,823379.20,979.58,18646.40,416.86,14.98,6440.30,12206.10,0.3378,49586
6,mixed,8,5,3,16,21014.30,806519.49,960.22,20598.40,415.90,14.85,6308.44,14289.96,0.3002,49586
7,mixed,8,5,3,16,20916.10,799396.48,973.38,20494.85,421.25,17.09,6252.89,14241.96,0.2990,49586
8,mixed,8,5,3,16,18468.16,870128.29,957.92,18050.75,417.41,17.73,6805.36,11245.39,0.3685,49586
9,mixed,8,4,4,16,20542.21,855838.53,972.61,20115.87,426.34,19.36,6693.84,13422.03,0.3259,49586
10,mixed,8,4,4,16,19008.70,881190.69,978.94,18590.85,417.86,19.49,6891.95,11698.90,0.3626,49586
11,mixed,8,3,5,16,20093.79,915773.95,966.08,19671.01,422.78,18.85,7162.03,12508.98,0.3564,49586
12,mixed,8,3,5,16,19958.34,908670.94,972.00,19533.95,424.38,19.30,7106.59,12427.37,0.3561,49586
13,mixed,8,3,5,16,20152.54,928551.65,967.90,19731.81,420.74,21.09,7261.87,12469.94,0.3603,49586
14,mixed,8,3,5,16,18153.02,944266.91,980.19,17733.82,419.20,21.25,7384.74,10349.08,0.4068,49586
15,mixed,8,2,6,16,19738.62,949274.40,965.63,19315.78,422.85,20.99,7423.75,11892.03,0.3761,49586
16,mixed,8,2,6,16,20520.77,1002634.59,983.87,20096.45,424.32,20.83,7840.77,12255.68,0.3821,49586
17,mixed,8,2,6,16,19920.64,971199.20,980.48,19498.53,422.11,23.07,7595.15,11903.37,0.3813,49586
18,mixed,8,1,7,16,19017.28,1018647.20,981.60,18598.94,418.34,22.34,7965.85,10633.09,0.4189,49586
19,mixed,8,1,7,16,19412.64,1016304.67,965.98,18988.96,423.68,22.30,7947.43,11041.53,0.4094,49586
20,mixed,8,1,7,16,19682.78,1026956.48,984.67,19255.23,427.55,22.11,8030.79,11224.44,0.4080,49586
21,mixed,8,1,7,16,19652.83,1016496.80,980.13,19225.31,427.52,21.02,7949.04,11276.27,0.4045,49586
22,mixed,8,1,7,14,17065.92,939170.72,955.10,16661.02,404.90,21.15,7344.73,9316.29,0.4304,49586
23,decode_full,8,0,8,8,12412.70,805171.42,943.17,11995.68,417.02,20.80,6297.77,5697.91,0.5074,49586
24,decode_full,8,0,8,8,12395.49,791919.71,952.64,11983.04,412.45,20.58,6194.32,5788.72,0.4997,49586
25,decode_full,8,0,8,8,12407.46,800318.37,956.22,11995.46,412.00,20.22,6259.96,5735.50,0.5045,49586
26,decode_full,8,0,8,8,12432.67,823010.02,949.18,12019.33,413.34,20.22,6437.18,5582.15,0.5178,49586
27,decode_full,8,0,8,8,12431.52,818521.34,950.02,12019.46,412.06,21.02,6402.12,5617.34,0.5150,49586
28,decode_full,8,0,8,8,12432.29,823334.62,948.80,12023.65,408.64,20.67,6439.71,5583.93,0.5180,49586
29,decode_full,8,0,8,8,12431.07,829275.42,949.47,12021.41,409.66,21.41,6486.13,5535.28,0.5218,49586
30,decode_full,8,0,8,8,12433.54,829395.58,951.55,12021.12,412.42,21.34,6487.09,5534.03,0.5217,49586
31,decode_full,8,0,8,8,12418.46,815606.50,956.90,12006.78,411.68,21.54,6379.40,5627.38,0.5137,49586
32,decode_full,8,0,8,8,12422.11,821713.92,951.30,12009.02,413.09,20.67,6427.07,5581.95,0.5174,49586
33,decode_full,8,0,8,8,12421.44,814695.23,948.96,12010.27,411.17,20.80,6372.22,5638.05,0.5130,49586
