kernel,calls_per_step,us_per_step_median,us_per_step_min,us_per_step_max,range_pct,mean_us_per_call,pct_of_gpu_busy,streams
"void cutlass::device_kernel<vllm::cutlass_3x_gemm_fp8_blockwise<cutlass::bfloat16_t, 1, 128, 128, cute::tuple<cute::C<64>, cute::C<128>, cute::C<128> >, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cutlass::epilogue::TmaWarpSpecialized1Sm, cutlass::gemm::KernelTmaWarpSpecializedBlockwise1SmSm100, false>::GemmKernel>(vllm::cutlass_3x_gemm_fp8_blockwise<cutlass::bfloat16_t, 1, 128, 128, cute::tuple<cute::C<64>, cute::C<128>, cute::C<128> >, cute::tuple<cute::C<1>, cute::C<1>, cute::C<1> >, cutlass::epilogue::TmaWarpSpecialized1Sm, cutlass::gemm::KernelTmaWarpSpecializedBlockwise1SmSm100, false>::GemmKernel::Params)",160.0000,1371.168,1368.023,1375.764,0.56,8.5698,19.003,3793|7
"bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_BN_transOut_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f",40.0000,1123.233,1038.338,1224.997,16.62,28.0808,15.567,7
"bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_BN_transOut_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f",40.0000,755.939,726.822,794.413,8.94,18.8985,10.476,7
"fused_recurrent_gated_delta_rule_packed_decode_kernel",30.0000,462.736,461.201,464.064,0.62,15.4245,6.413,7
"void per_token_group_quant_8bit_kernel<c10::BFloat16, c10::Float8_e4m3fn, true, false, float>(c10::BFloat16 const*, void*, float*, int, int, int, float, float, float, int, int)",160.0000,459.874,459.365,460.298,0.20,2.8742,6.373,3793|7
"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",110.0000,311.358,310.793,311.886,0.35,2.8305,4.315,3793|7
"void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true>)",40.0000,292.824,287.715,297.048,3.19,7.3206,4.058,7
"void moe::dev::routing::routingCustom::routingIndicesDynBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 256, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 256, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)",40.0000,238.184,237.183,239.269,0.88,5.9546,3.301,7
"void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)",40.0000,194.338,191.481,198.975,3.86,4.8585,2.693,7
"nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN",40.0000,164.557,164.001,164.785,0.48,4.1139,2.281,7
"nvjet_sm100_tst_192x16_64x8_2x1_2cta_v_bz_TNT",1.0000,155.132,155.017,155.209,0.12,155.1324,2.150,7
"nvjet_sm100_tst_64x8_64x16_1x1_h_bz_splitK_TNT",40.0000,150.476,150.149,150.977,0.55,3.7619,2.085,3793
"void per_token_group_quant_8bit_kernel<c10::BFloat16, c10::Float8_e4m3fn, false, true, float>(c10::BFloat16 const*, void*, float*, int, int, int, float, float, float, int, int)",40.0000,146.315,146.038,146.638,0.41,3.6579,2.028,7
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",40.0000,136.190,133.476,140.338,5.04,3.4048,1.887,3793
"nvjet_sm100_tst_32x64_64x16_2x1_v_bz_splitK_TNN",30.0000,109.625,109.051,110.202,1.05,3.6542,1.519,7
"fmhaSm100fKernel_QkvBfloat16OBfloat16H256PagedKvCausalP32MultiCtasKvCgaVarSeqQ8Kv128StaticSwapsAbForGen",10.0000,106.588,98.190,121.551,21.92,10.6588,1.477,7
"triton_poi_fused_mul_silu_slice_0",40.0000,97.420,97.348,97.547,0.20,2.4355,1.350,3793
"_causal_conv1d_update_kernel",30.0000,95.615,95.484,95.961,0.50,3.1872,1.325,7
"triton_red_fused__to_copy_add_fused_add_rms_norm_moe_forward_shared_2",30.0000,79.380,79.063,79.721,0.83,2.6460,1.100,7
"triton_red_fused__to_copy_add_copy__fused_add_rms_norm_3",20.0000,73.175,73.064,73.409,0.47,3.6588,1.014,7
