stage,calls_per_step,sites_per_step,sum_us_per_step,sum_min,sum_max,range_pct,union_us_per_step,us_per_site
moe_grouped_gemm_w13,40.00,40,879.83,791.08,983.05,21.82,879.83,21.996
dense_fp8_attn_gdn_proj,80.00,80,812.53,810.27,814.93,0.57,812.53,10.157
moe_grouped_gemm_w2,40.00,40,699.07,656.97,748.70,13.12,699.07,17.477
norms_rope_glue,312.00,,660.50,660.10,660.83,0.11,656.61,
dense_fp8_shared_expert,80.00,80,622.19,599.03,643.25,7.11,622.19,7.777
shared_expert_gate,160.00,40,443.79,441.58,447.50,1.33,391.83,11.095
quantize_fp8_main,120.00,120,374.24,373.92,374.70,0.21,374.24,3.119
moe_act_silu_requant,40.00,40,307.55,301.94,315.77,4.50,307.55,7.689
gdn_recurrent,30.00,30,270.43,269.59,271.50,0.70,270.43,9.014
quantize_fp8_shared,80.00,80,246.26,241.60,249.86,3.35,246.26,3.078
bf16_small_gemm_splitk_reduce,70.00,70,199.08,198.55,199.59,0.52,199.08,2.844
moe_finalize_combine,40.00,40,191.07,188.63,192.52,2.03,191.07,4.777
moe_router_topk,40.00,40,184.10,183.79,184.38,0.32,184.10,4.602
moe_router_gemm_bf16,40.00,40,163.20,162.74,163.45,0.44,163.20,4.080
lm_head_bf16,1.00,1,152.88,152.70,153.10,0.26,152.88,152.885
gdn_in_proj_ba_bf16,30.00,30,111.70,110.93,112.13,1.07,111.70,3.723
shared_expert_silu_mul,40.00,40,97.53,97.44,97.66,0.22,97.53,2.438
full_attention,10.00,10,92.37,85.73,109.05,25.25,92.37,9.237
gdn_conv1d,30.00,30,91.68,91.42,91.86,0.49,91.68,3.056
attention_kv_write,14.00,10,41.02,40.97,41.07,0.23,41.02,4.102
memcpy_memset,23.00,,36.64,36.54,36.79,0.67,35.80,
sampling_argmax,1.00,1,9.54,9.51,9.55,0.37,9.54,9.539
embedding,1.00,1,5.74,5.27,6.68,24.59,5.74,5.742
unmapped,1.00,,1.88,1.87,1.88,0.71,1.88,
