arm,bs,n_reps,step_us_median,step_us_min,step_us_max,spread_pct,tok_s_median,sha_consistent,n_distinct_sha,i1_baseline_step_us
base,1,3,15160.6,15134.2,15308.6,1.15,66.0,True,1,15264.0
base,2,3,15905.9,15779.2,16006.3,1.43,125.7,True,1,15647.6
base,4,3,15837.4,15762.6,15971.1,1.32,252.6,True,1,15645.1
base,8,3,19816.6,19797.8,20057.8,1.31,403.7,True,1,18618.2
base,16,3,43052.3,42927.2,55406.8,28.99,232.3,True,1,22005.2
v1,1,3,11813.9,11733.4,11829.4,0.81,84.6,True,1,15264.0
v1,2,3,12092.3,12077.3,12278.4,1.66,165.4,True,1,15647.6
v1,4,3,12294.3,12287.0,12426.5,1.13,325.4,True,1,15645.1
v1,8,3,16435.8,16359.0,16544.7,1.13,486.7,True,1,18618.2
v1,16,3,36399.2,36391.3,36459.9,0.19,274.7,True,1,22005.2
