iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,16,16,0,16,29495.14,681992.10,960.35,29068.70,426.43,13.82,5335.57,23733.14,0.1809,59346
1,prefill,16,16,0,16,32582.82,651230.27,957.57,32151.23,431.58,11.42,5095.22,27056.01,0.1564,59346
2,prefill,16,16,0,16,32692.58,648869.09,961.89,32263.26,429.31,12.58,5076.80,27186.46,0.1553,59346
3,prefill,16,16,0,16,32449.92,642090.69,959.94,32021.31,428.61,13.38,5023.83,26997.48,0.1548,59346
4,prefill,16,16,0,16,32894.18,639340.67,967.39,32460.42,433.76,13.98,5002.41,27458.01,0.1521,59346
5,prefill,16,16,0,16,32758.62,644114.78,953.09,32328.86,429.76,13.76,5039.59,27289.27,0.1538,59346
6,prefill,16,16,0,16,32740.86,634361.57,963.55,32311.97,428.90,12.51,4963.48,27348.49,0.1516,59346
7,prefill,16,16,0,16,33102.91,646747.94,953.76,32662.75,440.16,15.23,5060.17,27602.58,0.1529,59346
8,prefill,16,16,0,16,33025.86,632733.66,960.58,32595.90,429.95,13.76,4950.74,27645.17,0.1499,59346
9,prefill,16,16,0,16,33116.29,637258.94,963.65,32687.14,429.15,13.34,4986.11,27701.02,0.1506,59346
10,prefill,16,16,0,16,33266.53,657835.94,961.15,32843.74,422.78,12.80,5146.85,27696.89,0.1547,59346
11,prefill,16,16,0,16,33269.02,667532.54,958.69,32837.15,431.87,13.28,5222.59,27614.56,0.1570,59346
12,prefill,16,16,0,16,33577.95,658615.71,962.98,33152.35,425.60,11.36,5152.96,27999.39,0.1535,59346
13,prefill,16,16,0,16,33383.01,664374.94,958.56,32955.71,427.30,13.06,5197.92,27757.79,0.1557,59346
14,prefill,16,16,0,16,33414.14,645620.42,962.37,32987.39,426.75,13.41,5051.43,27935.96,0.1512,59346
15,prefill,16,16,0,16,33592.26,659728.99,960.86,33157.18,435.07,15.68,5161.64,27995.54,0.1537,59346
16,mixed,16,15,1,16,28021.06,701841.76,968.38,27592.54,428.51,14.85,5490.70,22101.84,0.1959,59346
17,mixed,16,15,1,16,31464.93,698520.42,976.99,31037.06,427.87,16.10,5464.82,25572.23,0.1737,59346
18,mixed,16,15,1,16,31391.30,681146.85,957.95,30960.26,431.04,15.46,5328.94,25631.31,0.1698,59346
19,mixed,16,15,1,16,31427.07,688715.52,960.48,30998.46,428.61,15.04,5388.09,25610.37,0.1714,59346
20,mixed,16,15,1,16,31857.47,700503.23,970.75,31427.39,430.08,14.24,5480.27,25947.13,0.1720,59346
21,mixed,16,15,1,16,31732.06,707314.85,967.52,31309.12,422.94,15.26,5533.46,25775.66,0.1744,59346
22,mixed,16,15,1,16,31988.80,715111.87,965.60,31554.82,433.98,15.81,5594.36,25960.46,0.1749,59346
23,mixed,16,15,1,16,31845.44,697541.82,952.26,31416.61,428.83,15.71,5456.98,25959.62,0.1714,59346
24,mixed,16,15,1,16,32111.58,699223.26,964.93,31681.76,429.82,15.94,5470.22,26211.54,0.1704,59346
25,mixed,16,15,1,16,32287.23,715770.66,969.95,31858.98,428.26,15.62,5599.54,26259.44,0.1734,59346
26,mixed,16,15,1,16,32078.69,690702.88,965.50,31645.95,432.74,15.39,5403.66,26242.29,0.1685,59346
27,mixed,16,15,1,16,32088.29,703059.55,967.23,31660.77,427.52,15.10,5500.21,26160.56,0.1714,59346
28,mixed,16,15,1,16,32427.23,726805.18,962.53,32002.34,424.90,15.01,5685.69,26316.65,0.1753,59346
29,mixed,16,15,1,16,32427.74,723137.09,966.24,31995.46,432.29,15.36,5657.06,26338.40,0.1745,59346
30,mixed,16,15,1,16,32371.30,711492.19,966.94,31936.45,434.85,16.13,5566.09,26370.36,0.1719,59346
31,mixed,16,15,1,16,32263.87,705571.42,970.62,31839.46,424.42,14.11,5519.86,26319.60,0.1711,59346
32,mixed,16,15,1,16,32574.18,738474.14,961.44,32145.15,429.02,15.65,5776.84,26368.31,0.1773,59346
33,mixed,16,15,1,16,27554.98,794943.36,963.23,27125.28,429.70,18.46,6218.02,20907.26,0.2257,59346
34,mixed,16,14,2,16,30660.93,764816.77,969.38,30219.94,440.99,17.34,5982.70,24237.23,0.1951,59346
35,mixed,16,14,2,16,30391.04,726837.47,960.58,29961.54,429.50,16.93,5685.92,24275.61,0.1871,59346
36,mixed,16,14,2,16,30512.70,759252.93,963.58,30082.85,429.86,17.38,5939.19,24143.66,0.1946,59346
37,mixed,16,14,2,16,30771.78,767024.19,964.74,30338.98,432.80,17.66,5999.91,24339.06,0.1950,59346
38,mixed,16,14,2,16,30682.66,746503.42,974.40,30252.29,430.37,17.41,5839.67,24412.62,0.1903,59346
39,mixed,16,14,2,16,30635.62,758380.86,959.49,30204.00,431.62,17.12,5932.35,24271.65,0.1936,59346
40,mixed,16,14,2,16,30976.00,760545.31,971.39,30542.37,433.63,17.06,5949.35,24593.02,0.1921,59346
41,mixed,16,14,2,16,30769.06,740764.29,961.66,30334.46,434.59,16.32,5794.73,24539.73,0.1883,59346
42,mixed,16,14,2,16,30947.81,755641.89,966.50,30516.61,431.20,18.11,5911.00,24605.60,0.1910,59346
43,mixed,16,14,2,16,30939.49,752182.82,963.52,30512.67,426.82,16.70,5883.96,24628.72,0.1902,59346
44,mixed,16,14,2,16,31472.19,797404.61,961.50,31043.04,429.15,18.62,6237.24,24805.80,0.1982,59346
45,mixed,16,14,2,16,31289.06,770207.87,961.54,30861.15,427.90,16.32,6024.76,24836.39,0.1926,59346
46,mixed,16,14,2,16,31571.42,780170.02,961.63,31141.89,429.54,16.74,6102.59,25039.30,0.1933,59346
