iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,1,1,0,16,18157.79,685806.34,949.79,17734.46,423.33,8.99,5365.28,12369.18,0.2955,41046
1,prefill,1,1,0,16,18492.13,659222.02,959.58,18071.17,420.96,6.37,5157.67,12913.50,0.2789,41046
2,prefill,1,1,0,16,18230.43,622827.81,952.35,17811.23,419.20,6.43,4873.28,12937.95,0.2673,41046
3,prefill,1,1,0,16,18181.34,630760.16,952.96,17762.66,418.69,5.34,4935.26,12827.40,0.2714,41046
4,prefill,1,1,0,16,18542.05,636712.22,964.19,18117.25,424.80,6.62,4981.85,13135.40,0.2687,41046
5,prefill,1,1,0,16,18526.94,631376.29,960.00,18105.34,421.60,6.08,4940.13,13165.22,0.2666,41046
6,prefill,1,1,0,16,18554.59,631976.80,948.99,18139.01,415.58,5.54,4944.73,13194.28,0.2665,41046
7,prefill,1,1,0,16,18655.36,643213.50,946.78,18239.78,415.58,5.63,5032.50,13207.27,0.2698,41046
8,prefill,1,1,0,16,18853.02,643562.24,947.71,18430.78,422.24,5.60,5035.23,13395.55,0.2671,41046
9,prefill,1,1,0,16,18865.70,626134.43,949.44,18446.91,418.78,5.66,4899.09,13547.82,0.2597,41046
10,prefill,1,1,0,16,18972.16,645276.80,950.72,18560.51,411.65,5.89,5048.65,13511.86,0.2661,41046
11,prefill,1,1,0,16,18847.26,625675.71,948.54,18424.22,423.04,5.44,4895.50,13528.72,0.2597,41046
12,prefill,1,1,0,16,19145.34,627659.49,953.60,18722.11,423.23,5.15,4911.04,13811.07,0.2565,41046
13,prefill,1,1,0,16,19191.84,643889.98,952.86,18771.36,420.48,5.70,5037.83,13733.53,0.2625,41046
14,prefill,1,1,0,16,19393.50,648645.31,945.41,18967.01,426.50,5.25,5074.93,13892.08,0.2617,41046
