q_pass,bs,iter_lo,iter_hi,ctx_mean,ctx_min,ctx_max,n_prefill_slot_iters,step_us,attn_wallspan_us_step,attn_sum_us_step,attn_n_per_step,attn_mean_us,gdn_wallspan_us_step,fp8_wallspan_us_step
1,1,0,96,296.5,257,336,16,11341.28,1174.0,2336.53,20.0,116.827,959.72,2821.85
1,1,48,144,336.5,289,384,0,9680.17,469.89,933.73,20.0,46.686,218.71,2820.09
1,1,96,192,384.5,337,432,0,9711.65,496.46,986.67,20.0,49.334,218.69,2821.43
1,1,144,240,432.5,385,480,0,9738.54,522.77,1039.42,20.0,51.971,218.59,2821.74
1,1,192,288,480.5,433,528,0,9763.21,546.88,1087.7,20.0,54.385,218.91,2821.72
1,1,240,336,528.5,481,576,0,9787.59,571.27,1136.39,20.0,56.82,218.8,2821.35
1,1,288,384,576.5,529,624,0,9811.71,597.75,1189.31,20.0,59.465,218.31,2820.89
1,1,336,432,624.5,577,672,0,9836.73,623.85,1241.6,20.0,62.08,218.34,2821.31
1,1,384,480,672.5,625,720,0,9863.22,648.0,1289.95,20.0,64.498,218.75,2821.9
1,1,432,528,720.5,673,768,0,9887.1,672.47,1338.85,20.0,66.942,218.87,2822.07
1,1,480,576,768.5,721,816,0,9911.31,698.97,1391.78,20.0,69.589,218.65,2822.02
1,1,528,624,816.5,769,864,0,9939.03,725.14,1443.98,20.0,72.199,218.61,2822.3
1,1,559,655,847.5,800,895,0,9953.08,739.35,1472.38,20.0,73.619,218.84,2822.47
2,1,0,96,296.5,257,336,16,11112.72,945.08,1881.96,20.0,94.098,962.4,2814.2
2,1,48,144,336.5,289,384,0,9682.74,478.18,951.46,20.0,47.573,219.4,2810.23
2,1,96,192,384.5,337,432,0,9714.11,504.9,1004.78,20.0,50.239,219.22,2811.15
2,1,144,240,432.5,385,480,0,9742.0,531.41,1057.75,20.0,52.888,219.13,2811.96
2,1,192,288,480.5,433,528,0,9767.55,556.48,1107.82,20.0,55.391,219.02,2812.03
2,1,240,336,528.5,481,576,0,9790.59,581.5,1157.81,20.0,57.891,219.03,2811.38
2,1,288,384,576.5,529,624,0,9815.63,607.95,1210.67,20.0,60.533,219.19,2811.07
2,1,336,432,624.5,577,672,0,9841.23,634.27,1263.32,20.0,63.166,219.27,2811.17
2,1,384,480,672.5,625,720,0,9867.61,658.65,1312.29,20.0,65.614,219.27,2810.79
2,1,432,528,720.5,673,768,0,9892.05,683.26,1361.57,20.0,68.078,219.4,2810.91
2,1,480,576,768.5,721,816,0,9917.21,710.46,1415.8,20.0,70.79,219.69,2811.0
2,1,528,624,816.5,769,864,0,9946.11,737.56,1469.97,20.0,73.499,219.84,2811.47
2,1,559,655,847.5,800,895,0,9960.68,752.24,1499.31,20.0,74.966,219.79,2811.66
4,1,0,96,296.5,257,336,16,11744.12,1207.31,2405.3,20.0,120.265,969.55,2939.54
4,1,48,144,336.5,289,384,0,10379.67,807.47,1608.17,20.0,80.409,233.91,2937.37
4,1,96,192,384.5,337,432,0,10449.77,872.37,1737.88,20.0,86.894,233.8,2938.96
4,1,144,240,432.5,385,480,0,10516.09,936.77,1866.53,20.0,93.327,234.04,2938.96
4,1,192,288,480.5,433,528,0,10571.13,992.04,1976.68,20.0,98.834,234.05,2938.52
4,1,240,336,528.5,481,576,0,10627.17,1047.28,2086.97,20.0,104.348,233.74,2938.66
4,1,288,384,576.5,529,624,0,10691.27,1111.81,2215.88,20.0,110.794,233.6,2938.38
4,1,336,432,624.5,577,672,0,10752.58,1176.44,2344.73,20.0,117.236,233.88,2938.29
4,1,384,480,672.5,625,720,0,10809.26,1231.64,2454.75,20.0,122.738,233.88,2939.29
4,1,432,528,720.5,673,768,0,10865.26,1287.37,2565.72,20.0,128.286,233.82,2939.04
4,1,480,576,768.5,721,816,0,10930.8,1353.01,2696.57,20.0,134.828,234.03,2938.75
4,1,528,624,816.5,769,864,0,10998.88,1418.08,2826.43,20.0,141.322,234.29,2939.8
4,1,559,655,847.5,800,895,0,11027.43,1447.22,2884.35,20.0,144.217,234.38,2940.11
1,8,141,237,363.5,257,477,29,13087.38,1059.18,8382.55,160.0,52.391,2327.75,2850.77
1,8,189,285,406.9,276,525,0,10651.48,517.58,7630.56,160.0,47.691,730.38,2850.3
1,8,237,333,454.9,324,573,0,10678.32,542.98,8038.8,160.0,50.243,730.34,2850.72
1,8,285,381,502.9,372,621,0,10703.65,569.02,8439.17,160.0,52.745,730.29,2850.26
1,8,333,429,550.9,420,669,0,10728.74,594.17,8835.26,160.0,55.22,730.14,2850.54
1,8,381,477,598.9,468,717,0,10754.82,618.59,9236.04,160.0,57.725,730.0,2849.99
1,8,429,525,646.9,516,765,0,10780.74,644.15,9644.84,160.0,60.28,729.8,2849.03
1,8,477,573,694.9,564,813,0,10806.55,670.35,10051.51,160.0,62.822,729.92,2848.54
1,8,525,621,742.9,612,861,0,10830.85,695.78,10452.29,160.0,65.327,730.03,2848.12
1,8,573,669,788.9,660,896,0,10850.66,718.75,10662.22,160.0,66.639,729.7,2848.35
1,8,621,717,821.7,708,896,0,10809.39,732.66,9226.69,160.0,57.667,726.56,2847.35
1,8,669,765,843.1,756,896,0,10661.66,737.51,6211.9,160.0,38.824,716.53,2844.89
1,8,713,809,860.6,800,896,0,10503.49,742.05,3544.95,160.0,22.156,696.62,2831.87
2,8,141,237,363.5,257,477,29,12915.7,885.97,8064.17,160.0,50.401,2326.87,2846.67
2,8,189,285,406.9,276,525,0,10655.29,518.77,7655.75,160.0,47.848,730.05,2846.75
2,8,237,333,454.9,324,573,0,10679.83,544.44,8073.68,160.0,50.461,730.22,2846.99
2,8,285,381,502.9,372,621,0,10707.13,571.0,8481.98,160.0,53.012,730.4,2847.08
2,8,333,429,550.9,420,669,0,10732.59,596.98,8884.16,160.0,55.526,730.32,2847.59
2,8,381,477,598.9,468,717,0,10757.81,621.9,9293.08,160.0,58.082,730.14,2847.17
2,8,429,525,646.9,516,765,0,10785.39,647.54,9709.26,160.0,60.683,729.82,2845.8
2,8,477,573,694.9,564,813,0,10812.62,674.31,10122.47,160.0,63.265,729.45,2845.16
2,8,525,621,742.9,612,861,0,10838.49,700.59,10532.74,160.0,65.83,729.92,2846.09
2,8,573,669,788.9,660,896,0,10856.74,723.85,10747.61,160.0,67.173,729.7,2846.39
2,8,621,717,821.7,708,896,0,10813.24,737.83,9301.61,160.0,58.135,725.76,2846.12
2,8,669,765,843.1,756,896,0,10670.44,742.81,6264.69,160.0,39.154,715.71,2845.29
2,8,713,809,860.6,800,896,0,10515.37,747.46,3573.47,160.0,22.334,696.12,2832.85
4,8,141,237,363.5,257,477,29,13751.59,1259.6,13702.13,160.0,85.638,2364.63,2981.46
4,8,189,285,406.9,276,525,0,11572.05,959.84,13838.1,160.0,86.488,785.46,2980.19
4,8,237,333,454.9,324,573,0,11634.76,1022.1,14850.38,160.0,92.815,785.95,2981.25
4,8,285,381,502.9,372,621,0,11704.79,1091.96,15875.04,160.0,99.219,786.05,2980.23
4,8,333,429,550.9,420,669,0,11771.93,1159.3,16888.05,160.0,105.55,785.76,2980.46
4,8,381,477,598.9,468,717,0,11835.53,1221.93,17924.01,160.0,112.025,785.67,2980.64
4,8,429,525,646.9,516,765,0,11904.47,1289.47,18995.24,160.0,118.72,786.05,2978.88
