geometry,metric,bs,pass4_median_ms,pass4_spread_pct,pass4_n,pass2_median_ms,pass2_spread_pct,pass2_n,pass1_median_ms,pass1_spread_pct,pass1_n,ratio_2_over_4,ratio_1_over_4,ratio_1_over_2
A,sum_wave_wall_ms,1,9481.3,1.58,3,9308.7,2.84,3,9266.9,0.55,3,0.9818,0.9774,0.9955
A,sum_wave_wall_ms,2,5139.4,4.52,3,4974.1,0.39,3,4983.8,0.09,3,0.9678,0.9697,1.002
A,sum_wave_wall_ms,4,3366.7,3.04,3,3259.5,2.84,3,3305.2,0.64,3,0.9681,0.9817,1.014
A,sum_wave_wall_ms,8,2984.8,0.05,3,2917.1,0.61,3,2954.3,0.48,3,0.9773,0.9898,1.0128
A,sum_wave_wall_ms,16,3383.1,1.25,3,3313.1,1.38,3,3327.3,1.97,3,0.9793,0.9835,1.0043
B,wave_wall_ms,1,1251.7,0.23,3,1205.9,0.12,3,1230.6,0.17,3,0.9635,0.9832,1.0205
B,wave_wall_ms,2,1590.3,0.27,3,1540.2,0.26,3,1583.0,0.57,3,0.9685,0.9954,1.0277
B,wave_wall_ms,4,2243.5,0.43,3,2182.2,0.39,3,2270.8,0.41,3,0.9727,1.0122,1.0406
B,wave_wall_ms,8,4364.6,0.26,3,4272.0,0.26,3,4428.7,0.27,3,0.9788,1.0147,1.0367
B,wave_wall_ms,16,10592.0,0.8,3,10458.0,0.79,3,10753.0,0.76,3,0.9874,1.0152,1.0282
C,wave_wall_ms,1,6889.4,0.13,3,6480.4,0.16,3,6509.4,0.11,3,0.9406,0.9448,1.0045
C,wave_wall_ms,2,7360.3,0.33,3,6928.5,0.32,3,6964.4,0.31,3,0.9413,0.9462,1.0052
C,wave_wall_ms,4,8136.7,0.42,3,7669.5,0.31,3,7734.6,0.91,3,0.9426,0.9506,1.0085
C,wave_wall_ms,8,10759.5,0.47,3,10201.6,0.43,3,10336.1,0.45,3,0.9482,0.9606,1.0132
C,wave_wall_ms,16,23252.6,3.18,3,22229.0,3.3,3,22431.8,3.27,3,0.956,0.9647,1.0091
