iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,16,16,0,16,29613.31,735944.19,973.66,29227.17,386.14,12.64,5757.17,23470.00,0.1944,59346
1,prefill,16,16,0,16,23698.08,766868.00,963.49,23305.66,392.42,12.29,5998.68,17306.98,0.2531,59346
2,mixed,16,15,1,16,31491.62,710575.07,975.30,31109.92,381.70,15.04,5558.99,25550.93,0.1765,59346
3,mixed,16,15,1,16,21944.19,742370.14,982.94,21563.17,381.02,14.75,5807.45,15755.72,0.2646,59346
4,mixed,16,14,2,16,30022.40,717959.07,965.12,29643.87,378.53,15.30,5616.60,24027.28,0.1871,59346
5,mixed,16,14,2,16,25527.23,760376.64,967.71,25144.32,382.91,14.85,5948.00,19196.32,0.2330,59346
6,mixed,16,13,3,16,28961.09,718043.55,980.48,28572.35,388.74,16.86,5617.38,22954.98,0.1940,59346
7,mixed,16,13,3,16,28902.72,711623.84,965.82,28512.51,390.21,16.99,5567.11,22945.41,0.1926,59346
8,mixed,16,13,3,16,23807.58,779247.04,977.15,23412.99,394.59,19.04,6095.50,17317.49,0.2560,59346
9,mixed,16,12,4,16,28014.02,739941.60,978.05,27627.49,386.53,18.82,5788.43,21839.05,0.2066,59346
10,mixed,16,12,4,16,25418.53,762898.88,977.47,25032.83,385.70,18.78,5967.78,19065.05,0.2348,59346
11,mixed,16,11,5,16,27113.89,771649.22,981.66,26725.92,387.97,18.53,6036.18,20689.74,0.2226,59346
12,mixed,16,11,5,16,26985.31,764742.88,980.77,26594.43,390.88,19.46,5982.22,20612.22,0.2217,59346
13,mixed,16,11,5,16,27165.18,784008.48,962.59,26780.58,384.61,20.83,6132.59,20647.99,0.2258,59346
14,mixed,16,11,5,16,22863.68,771130.98,973.18,22470.40,393.28,20.16,6032.06,16438.34,0.2638,59346
15,mixed,16,10,6,16,26148.22,777177.73,972.45,25757.73,390.50,21.12,6079.30,19678.43,0.2325,59346
16,mixed,16,10,6,16,26908.38,829228.93,974.69,26514.43,393.95,21.86,6485.97,20028.47,0.2410,59346
17,mixed,16,10,6,16,26308.42,798246.27,976.38,25920.26,388.16,21.92,6243.93,19676.33,0.2373,59346
18,mixed,16,9,7,16,23213.60,817179.46,978.27,22819.07,394.53,23.33,6391.86,16427.21,0.2753,59346
19,mixed,16,9,7,16,25312.32,815760.90,965.98,24921.95,390.37,23.23,6380.68,18541.27,0.2521,59346
20,mixed,16,9,7,16,25574.08,825985.95,976.00,25177.57,396.51,23.14,6460.64,18716.93,0.2526,59346
21,mixed,16,9,7,16,25555.62,816256.70,967.84,25160.13,395.49,23.90,6384.57,18775.56,0.2498,59346
22,mixed,16,9,7,16,23526.37,826297.86,980.38,23115.58,410.78,23.90,6463.11,16652.47,0.2747,59346
23,mixed,16,8,8,16,24434.66,826817.38,983.90,24038.62,396.03,24.67,6467.20,17571.43,0.2647,59346
24,mixed,16,8,8,16,24337.25,833707.97,987.04,23948.83,388.42,24.29,6521.05,17427.78,0.2679,59346
25,mixed,16,8,8,16,25119.65,857089.98,981.44,24728.99,390.66,24.42,6703.68,18025.31,0.2669,59346
26,mixed,16,8,8,16,25117.95,851394.75,962.21,24726.21,391.74,23.23,6659.04,18067.17,0.2651,59346
27,mixed,16,8,8,16,25522.66,867347.74,959.33,25130.27,392.38,25.63,6783.65,18346.62,0.2658,59346
28,mixed,16,8,8,16,20345.41,900306.14,976.51,19956.26,389.15,26.78,7041.27,12914.99,0.3461,59346
29,mixed,16,7,9,16,24708.32,877848.83,976.64,24310.11,398.21,25.73,6865.82,17444.29,0.2779,59346
30,mixed,16,7,9,16,24773.54,880748.93,966.75,24378.59,394.94,25.44,6888.40,17490.19,0.2781,59346
31,mixed,16,7,9,16,24652.99,885809.38,961.82,24254.56,398.43,27.04,6927.90,17326.66,0.2810,59346
32,mixed,16,7,9,16,24667.68,880774.37,969.66,24260.64,407.04,25.70,6888.63,17372.01,0.2793,59346
33,mixed,16,7,9,16,24740.42,888703.39,966.50,24337.92,402.50,27.17,6950.55,17387.37,0.2809,59346
34,mixed,16,7,9,16,24477.41,890407.52,963.36,24077.82,399.58,25.15,6963.84,17113.99,0.2845,59346
35,mixed,16,7,9,16,24681.89,877794.91,965.50,24274.34,407.55,26.78,6865.32,17409.02,0.2782,59346
36,mixed,16,7,9,16,24919.58,892130.59,975.33,24523.17,396.42,26.72,6977.39,17545.78,0.2800,59346
37,mixed,16,7,9,16,23781.44,883252.70,963.55,23374.94,406.50,27.97,6907.94,16467.00,0.2905,59346
38,mixed,16,6,10,16,23021.86,867813.92,970.66,22626.53,395.33,28.58,6787.38,15839.15,0.2948,59346
39,mixed,16,6,10,16,22596.54,872523.65,982.05,22203.65,392.90,28.35,6824.26,15379.38,0.3020,59346
40,mixed,16,6,10,16,23531.17,885135.10,972.29,23131.42,399.74,29.54,6922.71,16208.71,0.2942,59346
41,mixed,16,6,10,16,22601.79,905756.29,978.05,22206.21,395.58,29.73,7083.86,15122.35,0.3134,59346
42,mixed,16,5,11,16,22172.03,865479.71,972.16,21759.62,412.42,29.28,6769.16,14990.46,0.3053,59346
43,mixed,16,5,11,16,22123.04,888212.54,965.18,21725.28,397.76,30.18,6946.70,14778.58,0.3140,59346
44,mixed,16,5,11,16,22554.53,898583.04,973.86,22159.20,395.33,28.77,7027.79,15131.41,0.3116,59346
45,mixed,16,5,11,16,22648.45,899953.70,966.82,22253.28,395.17,29.12,7038.44,15214.84,0.3108,59346
46,mixed,16,5,11,16,22221.25,866295.49,983.39,21807.23,414.02,30.14,6775.62,15031.62,0.3049,59346
47,mixed,16,5,11,16,21115.20,889862.27,976.35,20706.02,409.18,30.11,6959.68,13746.34,0.3296,59346
48,mixed,16,4,12,16,21484.29,902098.50,971.55,21086.75,397.54,30.72,7055.23,14031.52,0.3284,59346
49,mixed,16,4,12,16,21463.52,917551.36,971.33,21069.79,393.73,30.72,7175.96,13893.83,0.3343,59346
50,mixed,16,4,12,16,21481.98,910194.18,958.91,21087.52,394.46,30.72,7118.38,13969.14,0.3314,59346
51,mixed,16,4,12,16,21475.71,941106.62,963.65,21082.56,393.15,31.07,7359.92,13722.64,0.3427,59346
52,mixed,16,4,12,16,21484.77,937107.20,954.02,21092.67,392.10,30.59,7328.60,13764.07,0.3411,59346
53,mixed,16,4,12,16,21470.88,940114.59,967.20,21077.28,393.60,31.46,7352.20,13725.08,0.3424,59346
