layer_type,n_bs1,us_bs1,perwkr_us_bs1,n_bs8,us_bs8,perwkr_us_bs8,n_bs16,us_bs16,perwkr_us_bs16,pct_bs1,pct_bs8,pct_bs16
dense_proj,7480.0,113928.6,890.07,7480.0,114304.3,893.0,7480.0,114754.4,896.52,50.2,23.9,15.5
moe_w13,10240.0,40799.3,318.74,10240.0,154199.6,1204.68,10240.0,297592.3,2324.94,18.0,32.2,40.1
moe_w2,10240.0,23855.7,186.37,10240.0,84173.2,657.6,10240.0,149533.4,1168.23,10.5,17.6,20.1
gdn_recurrent,3840.0,21178.3,165.46,7680.0,79131.5,618.22,15360.0,119998.1,937.48,9.3,16.5,16.2
quantize_fp8,3840.0,7491.3,58.53,3840.0,7364.1,57.53,3840.0,7280.0,56.88,3.3,1.5,1.0
moe_silu_mul,5280.0,6499.5,50.78,5280.0,6003.3,46.9,5280.0,6055.0,47.3,2.9,1.3,0.8
moe_combine,640.0,3837.6,29.98,640.0,3472.3,27.13,640.0,3197.1,24.98,1.7,0.7,0.4
gdn_gate,640.0,2572.1,20.09,640.0,3391.1,26.49,640.0,3710.9,28.99,1.1,0.7,0.5
norm,1296.0,1814.8,14.18,1296.0,1727.5,13.5,1296.0,1832.0,14.31,0.8,0.4,0.2
gdn_conv,240.0,1263.9,9.87,1920.0,9962.5,77.83,3840.0,15584.5,121.75,0.6,2.1,2.1
attention,20.0,1210.0,9.45,160.0,9194.4,71.83,320.0,15038.0,117.48,0.5,1.9,2.0
sched_events,2277.0,898.4,7.02,2277.0,901.0,7.04,2277.0,926.3,7.24,0.4,0.2,0.1
moe_router,40.0,842.1,6.58,40.0,903.3,7.06,40.0,982.1,7.67,0.4,0.2,0.1
argmax,129.0,689.0,5.38,129.0,4074.3,31.83,129.0,5996.9,46.85,0.3,0.9,0.8
embedding,1.0,57.9,0.45,1.0,43.8,0.34,1.0,38.6,0.3,0.0,0.0,0.0
sched_prepare_batch,1.0,4.5,0.04,1.0,22.1,0.17,1.0,32.7,0.26,0.0,0.0,0.0
begin_task_graph,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0
