task_type,name,layer_type,n_bs1,us_bs1,perwkr_us_bs1,mean_us_bs1,nlong_bs1,wallspan_us_bs1,conc_bs1,n_bs8,us_bs8,perwkr_us_bs8,mean_us_bs8,nlong_bs8,wallspan_us_bs8,conc_bs8,n_bs16,us_bs16,perwkr_us_bs16,mean_us_bs16,nlong_bs16,wallspan_us_bs16,conc_bs16
279,TASK_LINEAR_FP8_BLOCKSCALE_SM100,dense_proj,5200.0,84615.5,661.06,16.27,5200.0,2803.0,69.1,5200.0,84595.2,660.9,16.27,5200.0,2840.0,70.6,5200.0,84201.8,657.83,16.19,5200.0,2859.0,68.6
241,TASK_MOE_W13_FP8_BLOCKSCALE_SM100,moe_w13,10240.0,40799.3,318.74,3.98,825.1,2344.0,93.9,10240.0,154199.6,1204.68,15.06,2701.7,2507.0,78.3,10240.0,297592.3,2324.94,29.06,4888.6,2881.0,79.5
253,TASK_LINEAR_SM100,dense_proj,2280.0,29313.1,229.01,12.86,2280.0,832.0,75.8,2280.0,29709.1,232.1,13.03,2280.0,897.0,77.0,2280.0,30552.7,238.69,13.4,2280.0,911.0,77.1
242,TASK_MOE_W2_FP8_BLOCKSCALE_SM100,moe_w2,10240.0,23855.7,186.37,2.33,641.4,1315.0,81.5,10240.0,84173.2,657.6,8.22,2644.2,1396.0,71.9,10240.0,149533.4,1168.23,14.6,4858.3,1537.0,79.5
237,TASK_GDN_RECURRENT_SM100,gdn_recurrent,3840.0,21178.3,165.46,5.52,3840.0,221.0,127.9,7680.0,79131.5,618.22,10.3,7680.0,731.0,128.0,15360.0,119998.1,937.48,7.81,11601.9,1454.0,101.7
275,TASK_QUANTIZE_FP8_SM100,quantize_fp8,3840.0,7491.3,58.53,1.95,3817.6,533.0,34.0,3840.0,7364.1,57.53,1.92,3686.2,547.0,34.0,3840.0,7280.0,56.88,1.9,3648.4,583.0,34.5
118,TASK_SILU_MUL,moe_silu_mul,5280.0,6499.5,50.78,1.23,4039.6,210.0,117.4,5280.0,6003.3,46.9,1.14,3662.3,289.0,112.9,5280.0,6055.0,47.3,1.15,3381.8,361.0,115.5
261,TASK_MOE_MUL_SUM_ADD_SM100,moe_combine,640.0,3837.6,29.98,6.0,640.0,263.0,16.0,640.0,3472.3,27.13,5.43,640.0,257.0,16.0,640.0,3197.1,24.98,5.0,640.0,251.0,16.0
238,TASK_SIGMOID_GATE_MUL_ADD_SM100,gdn_gate,640.0,2572.1,20.09,4.02,640.0,252.0,15.2,640.0,3391.1,26.49,5.3,640.0,321.0,15.5,640.0,3710.9,28.99,5.8,640.0,364.0,16.1
154,TASK_RMS_NORM_HOPPER,norm,1296.0,1814.8,14.18,1.4,1296.0,185.0,15.1,1296.0,1727.5,13.5,1.33,1296.0,188.0,12.7,1296.0,1832.0,14.31,1.41,1296.0,193.0,13.5
234,TASK_GDN_CONV1D_SM100,gdn_conv,240.0,1263.9,9.87,5.27,240.0,173.0,8.0,1920.0,9962.5,77.83,5.19,1920.0,195.0,64.0,3840.0,15584.5,121.75,4.06,2934.2,197.0,101.7
257,TASK_ATTN_SM100,attention,20.0,1210.0,9.45,60.5,20.0,601.0,2.0,160.0,9194.4,71.83,57.47,160.0,618.0,16.0,320.0,15038.0,117.48,46.99,293.1,740.0,25.8
201,TASK_SCHD_EVENTS,sched_events,2277.0,898.4,7.02,0.39,3.5,386.0,23.3,2277.0,901.0,7.04,0.4,5.7,417.0,23.0,2277.0,926.3,7.24,0.41,9.0,414.0,23.4
260,TASK_MOE_TOPK_SOFTMAX_SM100,moe_router,40.0,842.1,6.58,21.05,40.0,842.0,2.1,40.0,903.3,7.06,22.58,40.0,908.0,1.6,40.0,982.1,7.67,24.55,40.0,980.0,1.1
259,TASK_ARGMAX_PARTIAL_SM100,argmax,128.0,686.6,5.36,5.36,128.0,38.0,80.8,128.0,4065.7,31.76,31.76,128.0,66.0,104.7,128.0,5984.1,46.75,46.75,128.0,84.0,123.8
101,TASK_EMBEDDING,embedding,1.0,57.9,0.45,57.91,1.0,58.0,1.0,1.0,43.8,0.34,43.76,1.0,45.0,1.0,1.0,38.6,0.3,38.61,1.0,38.0,1.0
204,TASK_SCHD_PREPARE_BATCH,sched_prepare_batch,1.0,4.5,0.04,4.55,1.0,,,1.0,22.1,0.17,22.14,1.0,,,1.0,32.7,0.26,32.72,1.0,,
258,TASK_ARGMAX_REDUCE_SM100,argmax,1.0,2.4,0.02,2.38,1.0,2.0,1.0,1.0,8.6,0.07,8.59,1.0,8.0,1.0,1.0,12.9,0.1,12.86,1.0,13.0,1.0
10,TASK_BEGIN_TASK_GRAPH,begin_task_graph,1.0,0.2,0.0,0.18,0.0,0.0,1.0,1.0,0.2,0.0,0.17,0.0,0.0,1.0,1.0,0.2,0.0,0.18,0.0,0.0,1.0
