bs,window,arm,rep,wall_ms,decode_steps,gpu_before_mib_pinned_device,discarded
1,M,full,0,10288.87,1023,633,False
1,M,full,1,10262.69,1023,6,False
1,M,full,2,10269.97,1023,8,False
1,M,pre,0,325.75,2,635,False
1,M,pre,1,332.78,2,634,False
1,M,pre,2,311.47,2,6,False
1,M2,full,0,10365.03,1023,5,False
1,M2,full,1,10308.94,1023,7,False
1,M2,full,2,10317.04,1023,5,False
1,M2,pre,0,326.09,2,5,False
1,M2,pre,1,333.20,2,5,False
1,M2,pre,2,312.30,2,5,False
2,M,full,0,10812.55,1023,9,False
2,M,full,1,10823.87,1023,634,False
2,M,full,2,10762.42,1023,7,False
2,M,pre,0,623.99,2,55,False
2,M,pre,1,616.15,2,634,False
2,M,pre,2,645.88,2,5,False
4,M,full,0,11571.10,1023,6,False
4,M,full,1,11588.22,1023,634,False
4,M,full,2,11678.66,1023,7,False
4,M,pre,0,1195.81,2,938,False
4,M,pre,1,1187.32,2,634,False
4,M,pre,2,1189.64,2,5,False
4,M2,full,0,11558.00,1023,5,False
4,M2,full,1,11592.89,1023,5,False
4,M2,full,2,11633.63,1023,5,False
4,M2,pre,0,1191.99,2,7,False
4,M2,pre,1,1188.23,2,5,False
4,M2,pre,2,1190.38,2,5,False
8,M,full,0,14353.35,1023,5,False
8,M,full,1,14405.24,1023,634,False
8,M,full,2,14468.43,1023,5,False
8,M,pre,0,2934.46,2,5,False
8,M,pre,1,2939.45,2,634,False
8,M,pre,2,2940.94,2,5,False
16,M,full,0,15217.53,1023,5,False
16,M,full,1,15169.04,1023,6,False
16,M,full,2,16110.53,1023,5,False
16,M,pre,0,3039.67,2,937,False
16,M,pre,1,3075.67,2,8,False
16,M,pre,2,3044.45,2,5,False
16,M2,full,0,15234.17,1023,7,False
16,M2,full,1,15192.54,1023,5,False
16,M2,full,2,16139.35,1023,5,False
16,M2,pre,0,3041.43,2,7,False
16,M2,pre,1,3037.73,2,5,False
16,M2,pre,2,3043.75,2,5,False
