bs,arm,compiled_cap,e2e_s,e2e_range_pct,e2e_n,prefill_s,prefill_range_pct,prefill_n,decode_tok_s,vllm_e2e_s,ac5_ratio,vllm_decode,full_reps_ms,pre_reps_ms
1,none,None,10.255421875,0.048097652613632726,3,0.3110772705078125,3.145257019752035,3,102.67142185909172,3.601619330991525,2.8474474764040885,285.5105643395262,"10252.3 10257.2 10255.4","310.4 320.2 311.1"
2,none,None,10.7987578125,0.8052955309529959,3,0.613869873046875,0.32826773347714433,3,200.49312394394835,3.886238737992244,2.778717042504441,529.7960084681633,"10842.5 10798.8 10755.6","615.0 613.9 612.9"
4,none,None,11.58969921875,0.5709036479389867,3,1.18970556640625,0.19760789684619479,3,392.69254737281756,4.45474189100787,2.601654484661483,934.3478174709361,"11559.8 11589.7 11625.9","1191.4 1189.1 1189.7"
8,none,None,14.42391796875,0.8499811646400036,3,2.93821435546875,0.22979784005319184,3,711.1449393971046,4.953407906476059,2.9119180655185386,1692.4669356762156,"14347.7 14423.9 14470.3","2933.7 2938.2 2940.5"
16,none,None,28.29398828125,5.55542593315359,3,8.252341796875,0.10287089436497547,3,815.1026919238386,5.567888470002799,5.081637039550071,3018.1111975195627,"28294.0 28193.0 29764.8","8252.3 8249.2 8257.7"
1,auto,16,10.25455078125,0.0860803035237785,3,0.31108831787109376,20.998441985288622,3,102.6805304249172,3.601619330991525,2.8472056147107927,285.5105643395262,"10249.3 10254.6 10258.2","310.4 375.7 311.1"
2,auto,8,10.652740234375,0.4685102479684016,3,0.47864178466796875,0.3717323506672412,3,200.7057441103099,3.886238737992244,2.741144060510948,529.7960084681633,"10662.2 10652.7 10612.3","480.1 478.3 478.6"
4,auto,4,11.146171875,0.5040092240188966,3,0.8222315063476563,0.47787018478572557,3,395.58539222104326,4.45474189100787,2.5020915123049288,934.3478174709361,"11128.8 11146.2 11185.0","823.3 819.4 822.2"
8,auto,2,12.6405625,0.4094349663039125,3,1.7012818603515625,0.09055815205977283,3,746.6670130388483,4.953407906476059,2.551892099068562,1692.4669356762156,"12592.0 12643.7 12640.6","1700.2 1701.3 1701.7"
16,auto,1,15.426482421875,6.138591573262244,3,3.040240966796875,0.18942686668657646,3,1318.8827344636131,5.567888470002799,2.770616276706283,3018.1111975195627,"15426.5 15168.1 16115.0","3040.2 3037.9 3043.6"
