bs,arm,compiled_cap,n_waves,total_wall_ms_median,range_pct,n,reps_ms,replay_iterations
1,none,None,10,9181.672058105469,0.027736689770825145,3,"9181.7 9179.8 9182.4",956
2,none,None,5,4974.279846191406,0.0392963800691499,3,"4973.7 4975.6 4974.3",498
4,none,None,3,3251.02734375,0.05531980275465808,3,"3250.5 3251.0 3252.3",308
8,none,None,2,2909.5006103515625,0.03702595916219212,3,"2908.9 2909.5 2910.0",228
16,none,None,1,3306.177001953125,0.060226991365667705,3,"3306.2 3307.2 3305.2",203
1,auto,16,10,9181.978881835938,0.020894385525123776,3,"9180.2 9182.0 9182.1",956
2,auto,8,5,4963.117919921875,0.10317684682977181,3,"4963.1 4961.4 4966.6",505
4,auto,4,3,3194.874755859375,0.0630205528614976,3,"3194.4 3194.9 3196.5",318
8,auto,2,2,2496.0645751953125,0.06208503708547845,3,"2494.7 2496.1 2496.2",228
16,auto,1,1,1572.1485595703125,0.14247178807800984,3,"1572.1 1572.1 1574.3",131
