bs,arm,rep,wall_ms,ms_per_step,steps,pinned_dev,pinned_used_mib,tokens_sha256
1,A,0,1095.50927734375,11.411554972330729,96,4,108,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,A,1,1093.79296875,11.3936767578125,96,4,108,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,A,2,1095.60302734375,11.412531534830729,96,4,108,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,B,0,824.3260498046875,8.586729685465494,96,4,108,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,B,1,824.0873413085938,8.584243138631185,96,4,108,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,B,2,824.261962890625,8.58606211344401,96,4,108,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
2,A,0,1266.732421875,13.19512939453125,96,4,108,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,A,1,1273.4666748046875,13.265277862548828,96,4,108,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,A,2,1267.4288330078125,13.202383677164713,96,4,108,033dba6bc077b02f4f2291896d8d5e6f32eee41ffe15b064d6fc78cfa30bd902
2,B,0,992.0419921875,10.333770751953125,96,4,108,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,B,1,1006.9449462890625,10.489009857177734,96,4,108,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,B,2,997.8176879882812,10.39393424987793,96,4,108,033dba6bc077b02f4f2291896d8d5e6f32eee41ffe15b064d6fc78cfa30bd902
4,A,0,1615.9935302734375,16.83326594034831,96,4,108,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,A,1,1627.39794921875,16.952061971028645,96,4,108,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,A,2,1624.142578125,16.91815185546875,96,4,108,078c632c0f586dd23aa30799d5d14c6ebee5a71db363dc9d6a4beff8b096eb02
4,B,0,1310.05810546875,13.646438598632812,96,4,108,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,B,1,1372.876953125,14.300801595052084,96,4,108,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,B,2,1366.001708984375,14.22918446858724,96,4,108,078c632c0f586dd23aa30799d5d14c6ebee5a71db363dc9d6a4beff8b096eb02
8,A,0,2507.623779296875,26.12108103434245,96,4,108,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,A,1,2498.802001953125,26.02918752034505,96,4,108,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,A,2,2508.607177734375,26.131324768066406,96,4,108,eea275e7ef5ce3b51d005c886feacd7b7b0cbfdc4f741d25c1e0fe2752bf43a5
8,B,0,2215.609619140625,23.079266866048176,96,4,108,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,B,1,2143.055908203125,22.32349904378255,96,4,108,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,B,2,2172.779541015625,22.63312021891276,96,4,108,eea275e7ef5ce3b51d005c886feacd7b7b0cbfdc4f741d25c1e0fe2752bf43a5
16,A,0,3825.416259765625,39.84808603922526,96,4,108,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,A,1,3841.990966796875,40.020739237467446,96,4,108,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,A,2,3825.335693359375,39.84724680582682,96,4,131,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
16,B,0,3385.9033203125,35.26982625325521,96,4,108,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,B,1,3423.964599609375,35.666297912597656,96,4,108,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,B,2,3371.7802734375,35.122711181640625,96,4,108,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
