bs,arm,rep,wall_ms,ms_per_step,steps,pinned_dev,pinned_used_mib,tokens_sha256
1,A,0,784.954833984375,8.176612854003906,96,1,72,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,A,1,783.8529663085938,8.165135065714518,96,1,72,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,A,2,784.36279296875,8.170445760091146,96,1,72,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,O,0,821.7235107421875,8.559619903564453,96,1,72,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,O,1,820.5425415039062,8.54731814066569,96,1,72,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,O,2,820.1905517578125,8.543651580810547,96,1,72,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,S,0,785.5150146484375,8.182448069254557,96,1,72,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
1,S,1,783.793212890625,8.164512634277344,96,1,72,ad5239e4f5dfd303b08cca1ae30f515c644734768b0dd0246483a65469caae4d
1,S,2,784.37548828125,8.170578002929688,96,1,72,21bd850d90b01edc77d1e21dd27a6f7660f33ee24aab6ab5dbaa6fc6fa493c48
2,A,0,950.5301513671875,9.901355743408203,96,1,72,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,A,1,964.5094604492188,10.04697354634603,96,1,72,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,A,2,956.800048828125,9.966667175292969,96,1,72,033dba6bc077b02f4f2291896d8d5e6f32eee41ffe15b064d6fc78cfa30bd902
2,S,0,951.8674926757812,9.915286382039389,96,1,72,e1e264118e2002e43966c426137395f8815e5903e7c1dc1cc90a6ce9a6c126c8
2,S,1,964.546142578125,10.047355651855469,96,1,72,2d88b743b728bab509e805ea26228d7973ed9f32b79a5ea484b37b872c013f57
2,S,2,957.197998046875,9.970812479654947,96,1,72,033dba6bc077b02f4f2291896d8d5e6f32eee41ffe15b064d6fc78cfa30bd902
4,A,0,1252.2418212890625,13.044185638427734,96,1,72,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,A,1,1314.140380859375,13.68896230061849,96,1,72,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,A,2,1306.87939453125,13.613327026367188,96,1,72,078c632c0f586dd23aa30799d5d14c6ebee5a71db363dc9d6a4beff8b096eb02
4,S,0,1252.494873046875,13.046821594238281,96,1,72,5f6983e881c653e63feef34ed4ef6f463c9b070a4d27e85d721aacdc7373a2c4
4,S,1,1314.2593994140625,13.690202077229818,96,1,72,3d36355426cfa6e589ce3694baaf776a64746db4b5169a5a57a207e8af7b3922
4,S,2,1307.3975830078125,13.618724822998047,96,1,72,078c632c0f586dd23aa30799d5d14c6ebee5a71db363dc9d6a4beff8b096eb02
8,A,0,2137.381591796875,22.26439158121745,96,1,72,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,A,1,2062.384521484375,21.483172098795574,96,1,72,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,A,2,2092.76318359375,21.79961649576823,96,1,72,eea275e7ef5ce3b51d005c886feacd7b7b0cbfdc4f741d25c1e0fe2752bf43a5
8,S,0,2137.046142578125,22.260897318522137,96,1,72,7ce24b63c9210685e014c68213ed50601b5a7011c9c19b3646e5b87451f2ea50
8,S,1,2062.416748046875,21.48350779215495,96,1,72,a86132db067241788b283d668d2afaea70eeca72c5c1ee58a8a22d7b250f6e61
8,S,2,2093.001953125,21.802103678385418,96,1,72,eea275e7ef5ce3b51d005c886feacd7b7b0cbfdc4f741d25c1e0fe2752bf43a5
16,A,0,3263.28271484375,33.9925282796224,96,1,72,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,A,1,3302.172119140625,34.39762624104818,96,1,72,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,A,2,3247.4189453125,33.82728068033854,96,1,72,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
16,O,0,3424.76318359375,35.67461649576823,96,1,72,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,O,1,3464.09912109375,36.08436584472656,96,1,72,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,O,2,3410.307373046875,35.524035135904946,96,1,72,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
16,S,0,3264.25634765625,34.00267028808594,96,1,72,e09df5c67d351993aba08c9712c5e345b2f89316925edd0c5424fcbb22c2a099
16,S,1,3301.980712890625,34.39563242594401,96,1,72,22c1720fa6c0c145029d659c7ee34d1bdf84f27dbd4d65ddca1448feb32adf06
16,S,2,3252.280029296875,33.877916971842446,96,1,72,8c9bcf2d79c46671893b1635d522a1dfd8189088a170087d48f9d029ba7d1f9a
