task_type,name,layer_type,n_bs1,us_bs1,perwkr_us_bs1,mean_us_bs1,nlong_bs1,wallspan_us_bs1,conc_bs1,n_bs2,us_bs2,perwkr_us_bs2,mean_us_bs2,nlong_bs2,wallspan_us_bs2,conc_bs2,n_bs4,us_bs4,perwkr_us_bs4,mean_us_bs4,nlong_bs4,wallspan_us_bs4,conc_bs4,n_bs8,us_bs8,perwkr_us_bs8,mean_us_bs8,nlong_bs8,wallspan_us_bs8,conc_bs8,n_bs16,us_bs16,perwkr_us_bs16,mean_us_bs16,nlong_bs16,wallspan_us_bs16,conc_bs16
241,TASK_MOE_W13_FP8_BLOCKSCALE_SM100,moe_w13,10240.0,266145.8,2079.26,25.99,4508.9,3084.0,74.7,10240.0,282279.5,2205.31,27.57,4750.9,3458.0,75.9,10240.0,289740.1,2263.59,28.29,4814.7,3125.0,74.8,10240.0,341681.3,2669.39,33.37,5607.3,4696.0,79.8,10240.0,424999.2,3320.31,41.5,6933.4,5009.0,89.8
242,TASK_MOE_W2_FP8_BLOCKSCALE_SM100,moe_w2,10240.0,140631.2,1098.68,13.73,4481.1,1702.0,75.1,10240.0,148142.1,1157.36,14.47,4726.0,1890.0,75.6,10240.0,150907.9,1178.97,14.74,4802.9,1708.0,74.6,10240.0,174905.8,1366.45,17.08,5594.7,2497.0,77.9,10240.0,214106.7,1672.71,20.91,6923.8,2641.0,86.8
279,TASK_LINEAR_FP8_BLOCKSCALE_SM100,dense_proj,5200.0,86159.3,673.12,16.57,5200.0,2936.0,70.2,5200.0,86931.8,679.15,16.72,5200.0,2950.0,69.6,5200.0,86832.5,678.38,16.7,5200.0,2956.0,69.7,5200.0,86336.1,674.5,16.6,5200.0,2947.0,70.1,5200.0,86975.0,679.49,16.73,5200.0,2973.0,69.6
275,TASK_QUANTIZE_FP8_SM100,quantize_fp8,3840.0,84071.4,656.81,21.89,3840.0,4540.0,34.6,3840.0,83626.1,653.33,21.78,3840.0,4548.0,34.8,3840.0,82428.6,643.97,21.47,3840.0,4479.0,34.6,3840.0,80001.6,625.01,20.83,3840.0,4406.0,34.5,3840.0,76065.6,594.26,19.81,3840.0,4244.0,33.2
237,TASK_GDN_RECURRENT_SM100,gdn_recurrent,960.0,37774.8,295.12,39.35,960.0,1217.0,32.0,1920.0,75008.7,586.01,39.07,1920.0,1211.0,64.0,3840.0,148877.5,1163.11,38.77,3840.0,1212.0,128.0,7680.0,295500.1,2308.59,38.48,7680.0,2462.0,128.0,15360.0,589334.8,4604.18,38.37,15360.0,4979.0,128.0
253,TASK_LINEAR_SM100,dense_proj,2280.0,29306.6,228.96,12.85,2280.0,838.0,88.3,2280.0,30230.8,236.18,13.26,2280.0,900.0,88.7,2280.0,29527.6,230.68,12.95,2280.0,860.0,89.1,2280.0,29998.2,234.36,13.16,2280.0,884.0,89.9,2280.0,31061.9,242.67,13.62,2280.0,921.0,88.9
118,TASK_SILU_MUL,moe_silu_mul,5280.0,7618.7,59.52,1.44,5172.2,238.0,120.0,5280.0,7622.7,59.55,1.44,5192.0,261.0,119.8,5280.0,7797.9,60.92,1.48,5275.6,287.0,119.9,5280.0,8015.6,62.62,1.52,5275.8,400.0,120.0,5280.0,8616.3,67.31,1.63,5275.7,479.0,117.8
238,TASK_SIGMOID_GATE_MUL_ADD_SM100,gdn_gate,640.0,4067.1,31.77,6.35,640.0,428.0,15.3,640.0,4130.4,32.27,6.45,640.0,495.0,14.6,640.0,4078.1,31.86,6.37,640.0,457.0,15.0,640.0,4137.0,32.32,6.46,640.0,596.0,14.0,640.0,4217.1,32.95,6.59,640.0,432.0,15.3
261,TASK_MOE_MUL_SUM_ADD_SM100,moe_combine,640.0,3162.5,24.71,4.94,640.0,222.0,16.0,640.0,3242.0,25.33,5.07,640.0,223.0,16.0,640.0,3223.2,25.18,5.04,640.0,223.0,16.0,640.0,3289.4,25.7,5.14,640.0,229.0,16.0,640.0,3422.8,26.74,5.35,640.0,243.0,16.0
154,TASK_RMS_NORM_HOPPER,norm,1296.0,1767.9,13.81,1.36,1152.0,162.0,15.5,1296.0,1883.8,14.72,1.45,1222.4,157.0,16.0,1296.0,1753.7,13.7,1.35,1153.9,153.0,15.7,1296.0,1728.4,13.5,1.33,1158.5,153.0,15.7,1296.0,1758.0,13.73,1.36,1158.1,162.0,15.5
