iter,phase,n_live,n_prefill,n_decode,tokens,iter_us,task_sum_us,sched_events_us,busy_any_us,dead_us,prepare_batch_us,perfect_pack_us,worker_idle_us,occupancy,n_tasks
0,prefill,8,8,0,16,25118.05,809914.66,647.58,24629.34,488.70,14.34,6332.52,18296.83,0.2521,49586
1,prefill,8,8,0,16,21469.54,844065.25,640.13,20972.26,497.28,11.78,6599.26,14373.00,0.3074,49586
2,mixed,8,7,1,16,25674.53,811679.90,639.42,25185.82,488.70,13.06,6346.24,18839.58,0.2472,49586
3,mixed,8,7,1,16,20138.11,845411.84,635.46,19641.92,496.19,13.18,6609.74,13032.18,0.3282,49586
4,mixed,8,6,2,16,24868.77,846715.81,640.35,24377.70,491.07,15.20,6619.97,17757.73,0.2662,49586
5,mixed,8,6,2,16,22318.34,891412.26,636.32,21822.46,495.87,14.91,6969.13,14853.33,0.3123,49586
6,mixed,8,5,3,16,24254.30,874372.80,634.78,23759.65,494.66,14.94,6836.00,16923.65,0.2818,49586
7,mixed,8,5,3,16,24178.50,867417.31,636.64,23686.46,492.03,16.93,6781.67,16904.79,0.2805,49586
8,mixed,8,5,3,16,21759.20,937768.35,643.71,21263.33,495.87,16.99,7331.34,13931.98,0.3369,49586
9,mixed,8,4,4,16,23804.96,923903.17,639.46,23309.06,495.90,19.42,7222.99,16086.07,0.3034,49586
10,mixed,8,4,4,16,22257.28,949171.42,648.74,21764.19,493.09,18.78,7420.47,14343.72,0.3334,49586
11,mixed,8,3,5,16,23339.55,983746.27,638.56,22839.78,499.78,18.82,7690.51,15149.27,0.3295,49586
12,mixed,8,3,5,16,23196.00,977066.14,640.13,22705.54,490.46,19.23,7638.33,15067.21,0.3293,49586
13,mixed,8,3,5,16,23406.43,996424.67,641.63,22915.81,490.62,20.13,7789.58,15126.23,0.3328,49586
14,mixed,8,3,5,16,21448.22,1011931.94,631.36,20953.41,494.82,20.13,7910.65,13042.76,0.3688,49586
15,mixed,8,2,6,16,23001.09,1016751.39,643.39,22501.54,499.55,21.18,7948.40,14553.14,0.3456,49586
16,mixed,8,2,6,16,23803.65,1069952.42,631.71,23304.90,498.75,20.19,8363.94,14940.96,0.3514,49586
17,mixed,8,2,6,16,23215.58,1039415.94,636.58,22716.16,499.42,23.07,8125.41,14590.75,0.3500,49586
18,mixed,8,1,7,16,22323.52,1086040.77,639.94,21820.77,502.75,22.02,8489.69,13331.08,0.3803,49586
19,mixed,8,1,7,16,22683.52,1083499.90,635.20,22179.17,504.35,22.34,8469.81,13709.36,0.3734,49586
20,mixed,8,1,7,16,22958.18,1094713.06,649.95,22458.59,499.58,21.47,8557.52,13901.07,0.3727,49586
21,mixed,8,1,7,16,22918.21,1084023.78,636.26,22421.50,496.70,20.99,8473.91,13947.60,0.3697,49586
22,mixed,8,1,7,14,20882.62,1041779.10,636.80,20387.68,494.94,20.80,8143.87,12243.81,0.3900,49586
