task_type_id,task_type_name,block_idx,group_idx,event_no,begin_ts,end_ts,duration_ns
204,TASK_SCHD_PREPARE_BATCH,4,0,0,2527636800,2527646688,9888
10,TASK_BEGIN_TASK_GRAPH,0,0,0,2523275520,2523276000,480
101,TASK_EMBEDDING,1,0,0,2523283360,2523305888,22528
154,TASK_RMS_NORM_HOPPER,2,0,0,2523307008,2523308832,1824
154,TASK_RMS_NORM_HOPPER,3,0,0,2523307008,2523308832,1824
154,TASK_RMS_NORM_HOPPER,5,0,0,2523307008,2523308736,1728
154,TASK_RMS_NORM_HOPPER,6,0,0,2523307008,2523308736,1728
154,TASK_RMS_NORM_HOPPER,7,0,0,2523307008,2523308736,1728
154,TASK_RMS_NORM_HOPPER,8,0,0,2523307008,2523308736,1728
253,TASK_LINEAR_SM100,9,0,0,2523309952,2523329440,19488
253,TASK_LINEAR_SM100,10,0,0,2523310176,2523329440,19264
253,TASK_LINEAR_SM100,11,0,0,2523310176,2523329248,19072
253,TASK_LINEAR_SM100,12,0,0,2523310208,2523329248,19040
253,TASK_LINEAR_SM100,13,0,0,2523309952,2523329248,19296
253,TASK_LINEAR_SM100,14,0,0,2523310176,2523329472,19296
253,TASK_LINEAR_SM100,15,0,0,2523309952,2523329440,19488
253,TASK_LINEAR_SM100,16,0,0,2523309920,2523329440,19520
253,TASK_LINEAR_SM100,17,0,0,2523309920,2523329408,19488
253,TASK_LINEAR_SM100,18,0,0,2523309984,2523329440,19456
253,TASK_LINEAR_SM100,19,0,0,2523309984,2523329248,19264
253,TASK_LINEAR_SM100,20,0,0,2523309920,2523329248,19328
253,TASK_LINEAR_SM100,21,0,0,2523309920,2523329280,19360
253,TASK_LINEAR_SM100,22,0,0,2523310208,2523329248,19040
253,TASK_LINEAR_SM100,23,0,0,2523310208,2523329280,19072
253,TASK_LINEAR_SM100,24,0,0,2523309888,2523329408,19520
253,TASK_LINEAR_SM100,25,0,0,2523309920,2523329408,19488
253,TASK_LINEAR_SM100,26,0,0,2523309984,2523329440,19456
253,TASK_LINEAR_SM100,27,0,0,2523309920,2523329440,19520
253,TASK_LINEAR_SM100,28,0,0,2523310208,2523329472,19264
253,TASK_LINEAR_SM100,29,0,0,2523310208,2523329472,19264
253,TASK_LINEAR_SM100,30,0,0,2523309984,2523329280,19296
253,TASK_LINEAR_SM100,31,0,0,2523309952,2523329280,19328
253,TASK_LINEAR_SM100,32,0,0,2523309888,2523329408,19520
253,TASK_LINEAR_SM100,33,0,0,2523309920,2523329440,19520
253,TASK_LINEAR_SM100,34,0,0,2523309984,2523329440,19456
253,TASK_LINEAR_SM100,35,0,0,2523309952,2523329248,19296
253,TASK_LINEAR_SM100,36,0,0,2523309952,2523329248,19296
253,TASK_LINEAR_SM100,37,0,0,2523309952,2523329248,19296
253,TASK_LINEAR_SM100,38,0,0,2523310208,2523329248,19040
253,TASK_LINEAR_SM100,39,0,0,2523310208,2523329280,19072
